round,mask,mask_hex,enabled_bits,elapsed_ms,total_TFLOP_per_s,kernel_status,cuda_error,build_status,run_status,seconds,csv,binary,notes
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.586230,1574.603,ok,no error,ok,ok,4.888,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.592979,1572.703,ok,no error,ok,ok,4.732,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.586003,1574.667,ok,no error,ok,ok,4.604,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.594627,1572.239,ok,no error,ok,ok,4.744,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.585216,1574.889,ok,no error,ok,ok,4.680,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.593821,1572.466,ok,no error,ok,ok,4.826,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.586227,1574.604,ok,no error,ok,ok,4.864,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.594016,1572.411,ok,no error,ok,ok,4.706,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.586230,1574.603,ok,no error,ok,ok,5.043,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.597286,1571.492,ok,no error,ok,ok,4.804,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_confirm_0x00d_vs_0x00f_5x/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
