iter,warp,pipe,stage,start_norm,end_norm,cycles,rate_148sm
56,0,0,K TMA,0,894,894,6.266 TB/s
56,0,0,QK MMA,2130,3273,1143,627.3 TFLOP/s
56,2,0,V TMA,4113,5132,1019,5.497 TB/s
56,2,0,PV MMA h0,5706,6076,370,968.9 TFLOP/s
56,2,0,PV MMA h1,6889,7202,313,1145.3 TFLOP/s
56,2,0,PV async tail,7202,7450,248,async
56,4,0,LD h0,3485,3555,70,20.005 TB/s
56,4,0,PACK h0,3873,4742,869,reg
56,4,0,ST h0,3873,4742,869,0.806 TB/s
56,4,0,SUM h0,3873,4742,869,reg
56,4,0,LD h1,5169,5213,44,31.826 TB/s
56,4,0,PACK h1,5453,6528,1075,reg
56,4,0,ST h1,5453,6528,1075,0.651 TB/s
56,4,0,SUM h1,5453,6528,1075,reg
56,5,0,LD h0,3531,3580,49,28.578 TB/s
56,5,0,PACK h0,3875,4752,877,reg
56,5,0,ST h0,3875,4752,877,0.798 TB/s
56,5,0,SUM h0,3875,4752,877,reg
56,5,0,LD h1,5220,5251,31,45.172 TB/s
56,5,0,PACK h1,5497,6531,1034,reg
56,5,0,ST h1,5497,6531,1034,0.677 TB/s
56,5,0,SUM h1,5497,6531,1034,reg
56,6,0,LD h0,3540,3582,42,33.341 TB/s
56,6,0,PACK h0,3889,4726,837,reg
56,6,0,ST h0,3889,4726,837,0.837 TB/s
56,6,0,SUM h0,3889,4726,837,reg
56,6,0,LD h1,5114,5162,48,29.174 TB/s
56,6,0,PACK h1,5399,6524,1125,reg
56,6,0,ST h1,5399,6524,1125,0.622 TB/s
56,6,0,SUM h1,5399,6524,1125,reg
56,7,0,LD h0,3547,3593,46,30.442 TB/s
56,7,0,PACK h0,3883,4680,797,reg
56,7,0,ST h0,3883,4680,797,0.879 TB/s
56,7,0,SUM h0,3883,4680,797,reg
56,7,0,LD h1,5094,5124,30,46.678 TB/s
56,7,0,PACK h1,5416,6488,1072,reg
56,7,0,ST h1,5416,6488,1072,0.653 TB/s
56,7,0,SUM h1,5416,6488,1072,reg
57,1,1,K TMA,1509,2663,1154,4.854 TB/s
57,1,1,QK MMA,3661,4727,1066,672.6 TFLOP/s
57,3,1,V TMA,5293,6385,1092,5.129 TB/s
57,3,1,PV MMA h0,7550,7948,398,900.7 TFLOP/s
57,3,1,PV MMA h1,8464,8753,289,1240.4 TFLOP/s
57,3,1,PV async tail,8753,8993,240,async
57,8,1,LD h0,4913,4982,69,20.295 TB/s
57,8,1,PACK h0,5164,6153,989,reg
57,8,1,ST h0,5164,6153,989,0.708 TB/s
57,8,1,SUM h0,5164,6153,989,reg
57,8,1,LD h1,6794,6825,31,45.172 TB/s
57,8,1,PACK h1,7063,8056,993,reg
57,8,1,ST h1,7063,8056,993,0.705 TB/s
57,8,1,SUM h1,7063,8056,993,reg
57,9,1,LD h0,4773,4819,46,30.442 TB/s
57,9,1,PACK h0,5149,6038,889,reg
57,9,1,ST h0,5149,6038,889,0.788 TB/s
57,9,1,SUM h0,5149,6038,889,reg
57,9,1,LD h1,6612,6740,128,10.940 TB/s
57,9,1,PACK h1,6961,7741,780,reg
57,9,1,ST h1,6961,7741,780,0.898 TB/s
57,9,1,SUM h1,6961,7741,780,reg
57,10,1,LD h0,4777,4819,42,33.341 TB/s
57,10,1,PACK h0,5105,6139,1034,reg
57,10,1,ST h0,5105,6139,1034,0.677 TB/s
57,10,1,SUM h0,5105,6139,1034,reg
57,10,1,LD h1,6798,6831,33,42.435 TB/s
57,10,1,PACK h1,7040,8009,969,reg
57,10,1,ST h1,7040,8009,969,0.723 TB/s
57,10,1,SUM h1,7040,8009,969,reg
57,11,1,LD h0,4771,4822,51,27.458 TB/s
57,11,1,PACK h0,5117,6135,1018,reg
57,11,1,ST h0,5117,6135,1018,0.688 TB/s
57,11,1,SUM h0,5117,6135,1018,reg
57,11,1,LD h1,6784,6815,31,45.172 TB/s
57,11,1,PACK h1,7051,8047,996,reg
57,11,1,ST h1,7051,8047,996,0.703 TB/s
57,11,1,SUM h1,7051,8047,996,reg
58,0,0,K TMA,3324,4196,872,6.424 TB/s
58,0,0,QK MMA,5624,6772,1148,624.5 TFLOP/s
58,2,0,V TMA,7747,8708,961,5.829 TB/s
58,2,0,PV MMA h0,9205,9567,362,990.3 TFLOP/s
58,2,0,PV MMA h1,10809,11094,285,1257.8 TFLOP/s
58,2,0,PV async tail,11094,11315,221,async
58,4,0,LD h0,7076,7138,62,22.586 TB/s
58,4,0,PACK h0,7405,8367,962,reg
58,4,0,ST h0,7405,8367,962,0.728 TB/s
58,4,0,SUM h0,7405,8367,962,reg
58,4,0,LD h1,8760,8791,31,45.172 TB/s
58,4,0,PACK h1,8990,10378,1388,reg
58,4,0,ST h1,8990,10378,1388,0.504 TB/s
58,4,0,SUM h1,8990,10378,1388,reg
58,5,0,LD h0,7210,7263,53,26.422 TB/s
58,5,0,PACK h0,7496,8279,783,reg
58,5,0,ST h0,7496,8279,783,0.894 TB/s
58,5,0,SUM h0,7496,8279,783,reg
58,5,0,LD h1,8667,8695,28,50.012 TB/s
58,5,0,PACK h1,8899,10189,1290,reg
58,5,0,ST h1,8899,10189,1290,0.543 TB/s
58,5,0,SUM h1,8899,10189,1290,reg
58,6,0,LD h0,7042,7118,76,18.426 TB/s
58,6,0,PACK h0,7400,8379,979,reg
58,6,0,ST h0,7400,8379,979,0.715 TB/s
58,6,0,SUM h0,7400,8379,979,reg
58,6,0,LD h1,8780,8808,28,50.012 TB/s
58,6,0,PACK h1,9019,10255,1236,reg
58,6,0,ST h1,9019,10255,1236,0.566 TB/s
58,6,0,SUM h1,9019,10255,1236,reg
58,7,0,LD h0,7045,7130,85,16.475 TB/s
58,7,0,PACK h0,7410,8409,999,reg
58,7,0,ST h0,7410,8409,999,0.701 TB/s
