mode,elapsed_ms,iter,pipe,warp_id,tma_start,tma_end,tma_cycles,mma_start,mma_end,mma_cycles,ld_start,ld_end,ld_cycles,pack_start,pack_end,pack_cycles,st_start,st_end,st_cycles,v_tma_start,v_tma_end,v_tma_cycles,pv_start,pv_end,pv_cycles,total_start,total_end,total_cycles,ld_warp0_start,ld_warp0_end,ld_warp1_start,ld_warp1_end,ld_warp2_start,ld_warp2_end,ld_warp3_start,ld_warp3_end,ld_warp4_start,ld_warp4_end,ld_warp5_start,ld_warp5_end,ld_warp6_start,ld_warp6_end,ld_warp7_start,ld_warp7_end,pack_warp0_start,pack_warp0_end,pack_warp1_start,pack_warp1_end,pack_warp2_start,pack_warp2_end,pack_warp3_start,pack_warp3_end,pack_warp4_start,pack_warp4_end,pack_warp5_start,pack_warp5_end,pack_warp6_start,pack_warp6_end,pack_warp7_start,pack_warp7_end,st_warp0_start,st_warp0_end,st_warp1_start,st_warp1_end,st_warp2_start,st_warp2_end,st_warp3_start,st_warp3_end,st_warp4_start,st_warp4_end,st_warp5_start,st_warp5_end,st_warp6_start,st_warp6_end,st_warp7_start,st_warp7_end,status,cuda_error,notes
qk_pack_smem_pv_2pipe_trace,0.105376,0,0,0,27359,28524,1165,28671,29922,1251,29987,32115,2128,30010,33100,3090,31126,33779,2653,27782,29016,1234,34249,35236,987,27359,35236,7877,29987,30008,31425,31652,30244,30270,32032,32108,30219,30240,32002,32115,30213,30237,31969,32088,30010,31124,31699,32466,30272,31352,32155,33094,30242,31331,32162,32951,30239,31336,32133,33100,31126,31411,32468,32692,31354,32019,33096,33779,31333,31987,32953,33373,31338,31955,33102,33703,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,1,1,1,27353,28240,887,28387,29917,1530,29975,31891,1916,30000,32946,2946,31076,33407,2331,27778,28804,1026,35181,36156,975,27353,36156,8803,29975,29998,31265,31297,30227,30251,31793,31868,30206,30229,31623,31740,30230,30256,31823,31891,30000,31074,31340,32149,30253,31283,31910,32922,30231,31244,31782,32602,30258,31284,31933,32946,31076,31250,32151,32286,31285,31779,32924,33335,31246,31610,32604,32732,31286,31810,32948,33407,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,2,0,0,30019,31066,1047,32232,33400,1168,35162,36322,1160,35181,37345,2164,35803,38409,2606,35430,36296,866,38973,39918,945,30019,39918,9899,35162,35179,36190,36207,35173,35190,36208,36225,35168,35185,36305,36322,35172,35191,36303,36320,35181,35801,36254,37304,35192,35809,36272,37312,35187,35843,36369,37320,35193,35841,36367,37345,35803,36021,37306,38409,35811,36045,37314,38385,35845,36175,37322,38319,35843,36178,37347,38345,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,3,1,1,30009,30822,813,32002,33081,1079,36124,38222,2098,36143,38891,2748,37215,39374,2159,36554,37532,978,39947,40816,869,30009,40816,10807,36124,36141,38205,38222,36130,36147,38197,38214,36126,36143,37886,37903,36129,36146,38012,38029,36143,37253,38265,38873,36149,37261,38256,38891,36145,37213,37945,38527,36148,37221,38071,38656,37255,38062,38875,39374,37263,38038,38893,39346,37215,37729,38532,38971,37223,37850,38658,39140,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,4,0,0,33585,34484,899,36438,37205,767,39938,41222,1284,39961,42126,2165,40596,42864,2268,40099,40984,885,43433,44332,899,33585,44332,10747,39942,39963,40800,40930,39938,39959,40794,40917,39943,39964,40944,40994,40258,40279,41200,41222,39965,40596,40977,42007,39961,40594,40964,41994,39966,40643,41041,42011,40281,41043,41269,42126,40598,40785,42009,42864,40596,40779,41996,42838,40645,40930,42013,42743,41045,41182,42128,42620,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,5,1,1,33607,34745,1138,38337,39210,873,40758,42765,2007,40782,43468,2686,41811,43765,1954,41018,41944,926,44363,45133,770,33607,45133,11526,40814,40835,42612,42765,40807,40828,42545,42693,40804,40825,42330,42477,40758,40780,41997,42177,40837,41937,42809,43468,40830,41913,42735,43344,40827,41873,42519,43094,40782,41809,42221,42778,41939,42599,43470,43765,41915,42532,43346,43748,41875,42317,43096,43352,41811,41984,42780,43126,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,6,0,0,37682,38808,1126,41342,42282,940,44318,45497,1179,44337,46314,1977,44973,47204,2231,44542,45394,852,48400,49253,853,37682,49253,11571,44323,44340,45432,45449,44318,44335,45401,45418,44326,44343,45480,45497,44327,44344,45480,45497,44342,44979,45494,46300,44337,44971,45465,46290,44345,45013,45544,46290,44346,45003,45547,46314,44981,45220,46302,47050,44973,45196,46292,47204,45015,45372,46292,47065,45005,45361,46316,47122,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,7,1,1,39457,40368,911,42884,43871,987,45077,46896,1819,45096,47539,2443,45906,48012,2106,45549,46449,900,49154,49923,769,39457,49923,10466,45081,45098,46616,46633,45084,45101,46879,46896,45079,45096,46552,46569,45077,45094,46657,46674,45100,45929,46675,47264,45103,46016,46938,47539,45098,45904,46611,47166,45096,45936,46720,47282,45931,46443,47266,47938,46018,46749,47541,48012,45906,46125,47168,47464,45938,46484,47284,47978,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,8,0,0,42984,43844,860,45617,46374,757,49144,50300,1156,49167,51381,2214,49800,52192,2392,49569,50433,864,52761,53950,1189,42984,53950,10966,49144,49165,50070,50193,49155,49176,50122,50238,49147,49168,50199,50281,49150,49174,50218,50300,49167,49798,50257,51351,49178,49814,50284,51350,49170,49832,50328,51352,49176,49831,50349,51381,49800,50057,51353,52117,49816,50109,51352,52192,49834,50181,51354,52029,49833,50205,51383,52104,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,9,1,1,44006,44884,878,47009,47939,930,50157,52190,2033,50180,52870,2690,51278,53231,1953,50452,51376,924,53889,54692,803,44006,54692,10686,50160,50181,51888,52025,50170,50191,52061,52190,50167,50191,51709,51852,50157,50178,51640,51796,50183,51293,52067,52692,50193,51324,52237,52870,50193,51276,51894,52486,50180,51276,51838,52417,51295,51875,52694,53133,51326,52048,52872,53231,51278,51696,52488,52969,51278,51627,52419,52945,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
