iter,warp,pipe,stage,start_norm,end_norm,cycles,rate_148sm
56,0,0,K TMA,0,1217,1217,4.603 TB/s
56,0,0,QK MMA,3187,3957,770,931.1 TFLOP/s
56,2,0,V TMA,6705,7587,882,6.351 TB/s
56,2,0,PV MMA,10146,11161,1015,706.4 TFLOP/s
56,4.h0,0,LD,6373,6394,21,66.683 TB/s
56,4.h0,0,PACK,6396,7030,634,reg
56,4.h0,0,ST,7032,7242,210,3.334 TB/s
56,4.h1,0,LD,7256,7344,88,15.913 TB/s
56,4.h1,0,PACK,7405,8483,1078,reg
56,4.h1,0,ST,8485,9473,988,0.709 TB/s
56,5.h0,0,LD,6375,6396,21,66.683 TB/s
56,5.h0,0,PACK,6398,7030,632,reg
56,5.h0,0,ST,7032,7243,211,3.318 TB/s
56,5.h1,0,LD,7257,7347,90,15.559 TB/s
56,5.h1,0,PACK,7408,8485,1077,reg
56,5.h1,0,ST,8487,9382,895,0.782 TB/s
56,6.h0,0,LD,6686,6715,29,48.288 TB/s
56,6.h0,0,PACK,6718,7496,778,reg
56,6.h0,0,ST,7498,7628,130,5.386 TB/s
56,6.h1,0,LD,7649,7678,29,48.288 TB/s
56,6.h1,0,PACK,7725,8514,789,reg
56,6.h1,0,ST,8516,9070,554,1.264 TB/s
56,7.h0,0,LD,6367,6388,21,66.683 TB/s
56,7.h0,0,PACK,6390,7065,675,reg
56,7.h0,0,ST,7067,7351,284,2.465 TB/s
56,7.h1,0,LD,7366,7402,36,38.898 TB/s
56,7.h1,0,PACK,7451,8526,1075,reg
56,7.h1,0,ST,8528,9421,893,0.784 TB/s
57,1,1,K TMA,1546,2347,801,6.993 TB/s
57,1,1,QK MMA,4708,5576,868,826.0 TFLOP/s
57,3,1,V TMA,7634,8546,912,6.142 TB/s
57,3,1,PV MMA,11091,11892,801,895.1 TFLOP/s
57,8.h0,1,LD,7308,7329,21,66.683 TB/s
57,8.h0,1,PACK,7331,8467,1136,reg
57,8.h0,1,ST,8469,9313,844,0.830 TB/s
57,8.h1,1,LD,9326,9492,166,8.436 TB/s
57,8.h1,1,PACK,9535,10155,620,reg
57,8.h1,1,ST,10157,10490,333,2.103 TB/s
57,9.h0,1,LD,7311,7332,21,66.683 TB/s
57,9.h0,1,PACK,7334,8443,1109,reg
57,9.h0,1,ST,8445,9185,740,0.946 TB/s
57,9.h1,1,LD,9198,9323,125,11.203 TB/s
57,9.h1,1,PACK,9365,10002,637,reg
57,9.h1,1,ST,10004,10326,322,2.174 TB/s
57,10.h0,1,LD,7216,7239,23,60.884 TB/s
