position	pass	input	method
1	1	unit	ours
2	1	unit	cublas
3	1	unit	cutlass
4	1	signed8	ours
5	1	signed8	cublas
6	1	signed8	cutlass
1	2	signed8	cutlass
2	2	signed8	cublas
3	2	signed8	ours
4	2	unit	cutlass
5	2	unit	cublas
6	2	unit	ours
1	3	unit	cublas
2	3	unit	ours
3	3	unit	cutlass
4	3	signed8	cublas
5	3	signed8	ours
6	3	signed8	cutlass
1	4	signed8	ours
2	4	signed8	cutlass
3	4	signed8	cublas
4	4	unit	ours
5	4	unit	cutlass
6	4	unit	cublas
1	5	unit	cutlass
2	5	unit	ours
3	5	unit	cublas
4	5	signed8	cutlass
5	5	signed8	ours
6	5	signed8	cublas
1	6	signed8	cublas
2	6	signed8	cutlass
3	6	signed8	ours
4	6	unit	cublas
5	6	unit	cutlass
6	6	unit	ours
