tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe0,0,133738,134465,727
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe1,0,134465,134526,61
8,1184,16,20,56,1424,84,64,0,p0_issue_a0,0,134588,134653,65
8,1184,16,20,56,1424,84,64,0,p0_issue_b0,0,134713,134804,91
8,1184,16,20,56,1424,84,64,0,p1_wait_pipe1,1,133646,134546,900
8,1184,16,20,56,1424,84,64,0,p1_issue_b1,1,134638,134731,93
8,1184,16,20,56,1424,84,64,0,c2_wait_b0,2,137694,137762,68
8,1184,16,20,56,1424,84,64,0,c2_wait_a0,2,137762,137846,84
8,1184,16,20,56,1424,84,64,0,c2_mma,2,137888,138578,690
8,1184,16,20,56,1424,84,64,0,c2_commit,2,138578,138705,127
8,1184,16,20,56,1424,84,64,0,c3_wait_b1,3,137753,137821,68
8,1184,16,20,56,1424,84,64,0,c3_wait_a0,3,137821,137906,85
8,1184,16,20,56,1424,84,64,0,c3_mma,3,137948,138642,694
8,1184,16,20,56,1424,84,64,0,c3_commit,3,138642,138769,127
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe0,0,135042,137879,2837
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe1,0,137879,137940,61
8,1184,16,20,57,1425,85,128,1,p0_issue_a0,0,138002,138067,65
8,1184,16,20,57,1425,85,128,1,p0_issue_a1,0,138104,138173,69
8,1184,16,20,57,1425,85,128,1,p0_issue_b0,0,138214,138305,91
8,1184,16,20,57,1425,85,128,1,p1_wait_pipe1,1,134890,137908,3018
8,1184,16,20,57,1425,85,128,1,p1_issue_b1,1,138000,138093,93
8,1184,16,20,57,1425,85,128,1,c2_wait_b0,2,138961,139960,999
8,1184,16,20,57,1425,85,128,1,c2_wait_a0,2,139960,140068,108
8,1184,16,20,57,1425,85,128,1,c2_wait_a1,2,140070,140312,242
8,1184,16,20,57,1425,85,128,1,c2_mma,2,140314,141953,1639
8,1184,16,20,57,1425,85,128,1,c2_commit,2,141953,142080,127
8,1184,16,20,57,1425,85,128,1,c3_wait_b1,3,139031,139267,236
8,1184,16,20,57,1425,85,128,1,c3_wait_a0,3,139267,139692,425
8,1184,16,20,57,1425,85,128,1,c3_wait_a1,3,139694,140394,700
8,1184,16,20,57,1425,85,128,1,c3_mma,3,140396,142145,1749
8,1184,16,20,57,1425,85,128,1,c3_commit,3,142145,142272,127
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe0,0,138538,139120,582
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe1,0,139120,139181,61
8,1184,16,20,58,1426,87,64,0,p0_issue_a0,0,139243,139308,65
8,1184,16,20,58,1426,87,64,0,p0_issue_b0,0,139368,139459,91
