tile_iter,linear_tile,tile_m,tile_n,logical_stage,stage_epoch,k64_cursor,stage_k,smem_slot,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe0,0,130188,130304,116
8,1184,16,20,56,1424,84,64,0,p0_wait_pipe1,0,130304,130365,61
8,1184,16,20,56,1424,84,64,0,p0_issue_a0,0,130431,130496,65
8,1184,16,20,56,1424,84,64,0,p0_issue_b0,0,130556,130647,91
8,1184,16,20,56,1424,84,64,0,p1_wait_pipe1,1,128583,129650,1067
8,1184,16,20,56,1424,84,64,0,p1_issue_b1,1,129742,129835,93
8,1184,16,20,56,1424,84,64,0,c2_wait_b0,2,133852,133921,69
8,1184,16,20,56,1424,84,64,0,c2_wait_a0,2,133921,134005,84
8,1184,16,20,56,1424,84,64,0,c2_mma,2,134048,134577,529
8,1184,16,20,56,1424,84,64,0,c2_commit,2,134577,134634,57
8,1184,16,20,56,1424,84,64,0,c3_wait_b1,3,132276,132344,68
8,1184,16,20,56,1424,84,64,0,c3_wait_a0,3,132344,132428,84
8,1184,16,20,56,1424,84,64,0,c3_mma,3,132470,133195,725
8,1184,16,20,56,1424,84,64,0,c3_commit,3,133195,133322,127
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe0,0,130887,133902,3015
8,1184,16,20,57,1425,85,128,1,p0_wait_pipe1,0,133902,133964,62
8,1184,16,20,57,1425,85,128,1,p0_issue_a0,0,134026,134091,65
8,1184,16,20,57,1425,85,128,1,p0_issue_a1,0,134128,134197,69
8,1184,16,20,57,1425,85,128,1,p0_issue_b0,0,134238,134329,91
8,1184,16,20,57,1425,85,128,1,p1_wait_pipe1,1,129994,132251,2257
8,1184,16,20,57,1425,85,128,1,p1_issue_b1,1,132343,132436,93
8,1184,16,20,57,1425,85,128,1,c2_wait_b0,2,134830,136426,1596
8,1184,16,20,57,1425,85,128,1,c2_wait_a0,2,136426,136534,108
8,1184,16,20,57,1425,85,128,1,c2_wait_a1,2,136536,136617,81
8,1184,16,20,57,1425,85,128,1,c2_mma,2,136619,138002,1383
8,1184,16,20,57,1425,85,128,1,c2_commit,2,138002,138066,64
8,1184,16,20,57,1425,85,128,1,c3_wait_b1,3,133578,133641,63
8,1184,16,20,57,1425,85,128,1,c3_wait_a0,3,133641,135001,1360
8,1184,16,20,57,1425,85,128,1,c3_wait_a1,3,135003,135396,393
8,1184,16,20,57,1425,85,128,1,c3_mma,3,135398,136415,1017
8,1184,16,20,57,1425,85,128,1,c3_commit,3,136415,136472,57
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe0,0,134565,134842,277
8,1184,16,20,58,1426,87,64,0,p0_wait_pipe1,0,134842,134903,61
8,1184,16,20,58,1426,87,64,0,p0_issue_a0,0,134966,135031,65
8,1184,16,20,58,1426,87,64,0,p0_issue_b0,0,135091,135182,91
8,1184,16,20,58,1426,87,64,0,p1_wait_pipe1,1,132595,133809,1214
8,1184,16,20,58,1426,87,64,0,p1_issue_b1,1,133901,133994,93
8,1184,16,20,58,1426,87,64,0,c2_wait_b0,2,138338,138410,72
8,1184,16,20,58,1426,87,64,0,c2_wait_a0,2,138410,138494,84
8,1184,16,20,58,1426,87,64,0,c2_mma,2,138536,139065,529
8,1184,16,20,58,1426,87,64,0,c2_commit,2,139065,139122,57
8,1184,16,20,58,1426,87,64,0,c3_wait_b1,3,136740,136808,68
8,1184,16,20,58,1426,87,64,0,c3_wait_a0,3,136808,136893,85
8,1184,16,20,58,1426,87,64,0,c3_mma,3,136935,137682,747
8,1184,16,20,58,1426,87,64,0,c3_commit,3,137682,137809,127
8,1184,16,20,59,1427,88,128,1,p0_wait_pipe0,0,135417,138411,2994
8,1184,16,20,59,1427,88,128,1,p0_wait_pipe1,0,138411,138472,61
8,1184,16,20,59,1427,88,128,1,p0_issue_a0,0,138534,138599,65
8,1184,16,20,59,1427,88,128,1,p0_issue_a1,0,138636,138705,69
8,1184,16,20,59,1427,88,128,1,p0_issue_b0,0,138746,138837,91
8,1184,16,20,59,1427,88,128,1,p1_wait_pipe1,1,134153,136723,2570
8,1184,16,20,59,1427,88,128,1,p1_issue_b1,1,136815,136908,93
8,1184,16,20,59,1427,88,128,1,c2_wait_b0,2,139320,140763,1443
8,1184,16,20,59,1427,88,128,1,c2_wait_a0,2,140763,140871,108
8,1184,16,20,59,1427,88,128,1,c2_wait_a1,2,140873,140953,80
8,1184,16,20,59,1427,88,128,1,c2_mma,2,140955,142210,1255
8,1184,16,20,59,1427,88,128,1,c2_commit,2,142210,142337,127
8,1184,16,20,59,1427,88,128,1,c3_wait_b1,3,138066,138129,63
8,1184,16,20,59,1427,88,128,1,c3_wait_a0,3,138129,139325,1196
8,1184,16,20,59,1427,88,128,1,c3_wait_a1,3,139327,139868,541
