sweep,input,variant,mean_tflops,paired_vs_delay0_percent,paired_ci95_percent,n_processes,warmup,iters
coarse,random,b1_delay0,1856.453,0.000,0.000,8,1,5
coarse,random,b1_delay64,1859.687,0.174,0.071,8,1,5
coarse,random,b1_delay128,1847.676,-0.473,0.093,8,1,5
coarse,random,b1_delay256,1819.197,-2.007,0.085,8,1,5
coarse,random,b1_delay384,1819.306,-2.001,0.131,8,1,5
coarse,random,b1_delay512,1170.017,-36.976,0.037,8,1,5
coarse,random,b1_delay768,1170.004,-36.976,0.034,8,1,5
coarse,random,b1_delay1024,592.099,-68.106,0.019,8,1,5
coarse,random-signed8,b1_delay0,1645.838,0.000,0.000,8,1,5
coarse,random-signed8,b1_delay64,1647.403,0.096,0.384,8,1,5
coarse,random-signed8,b1_delay128,1645.448,-0.023,0.277,8,1,5
coarse,random-signed8,b1_delay256,1640.198,-0.342,0.296,8,1,5
coarse,random-signed8,b1_delay384,1642.224,-0.219,0.298,8,1,5
coarse,random-signed8,b1_delay512,1169.932,-28.915,0.209,8,1,5
coarse,random-signed8,b1_delay768,1169.899,-28.917,0.207,8,1,5
coarse,random-signed8,b1_delay1024,592.088,-64.025,0.106,8,1,5
fine,random,baseline,1849.522,-0.367,0.147,7,1,5
fine,random,b1_delay0,1856.335,0.000,0.000,7,1,5
fine,random,b1_delay48,1857.672,0.072,0.118,7,1,5
fine,random,b1_delay64,1859.738,0.183,0.151,7,1,5
fine,random,b1_delay80,1859.283,0.159,0.072,7,1,5
fine,random,b1_delay96,1860.958,0.249,0.188,7,1,5
fine,random,b1_delay128,1848.244,-0.436,0.058,7,1,5
fine,random-signed8,baseline,1643.505,-0.228,0.154,7,1,5
fine,random-signed8,b1_delay0,1647.265,0.000,0.000,7,1,5
fine,random-signed8,b1_delay48,1647.299,0.002,0.162,7,1,5
fine,random-signed8,b1_delay64,1647.590,0.020,0.278,7,1,5
fine,random-signed8,b1_delay80,1650.574,0.201,0.256,7,1,5
fine,random-signed8,b1_delay96,1648.261,0.061,0.221,7,1,5
fine,random-signed8,b1_delay128,1648.374,0.068,0.242,7,1,5
