size,input,method,sample1,sample2,sample3,sample4,mean,sample_sd,ours_over_cublas_pct
8192,unit,ours,1764.409,1763.376,1761.911,1764.699,1763.599,1.260,96.758
8192,unit,cublas,1824.288,1819.458,1820.287,1826.713,1822.687,3.414,96.758
8192,signed8,ours,1591.126,1591.377,1597.785,1589.389,1592.419,3.685,98.307
8192,signed8,cublas,1618.483,1624.528,1611.620,1624.728,1619.840,6.199,98.307
16384,unit,ours,1854.784,1855.718,1853.054,1852.617,1854.043,1.457,96.346
16384,unit,cublas,1923.377,1926.499,1922.694,1924.837,1924.352,1.688,96.346
16384,signed8,ours,1644.553,1650.956,1645.709,1651.275,1648.123,3.490,96.490
16384,signed8,cublas,1708.634,1710.689,1706.475,1706.511,1708.077,2.013,96.490
32768,unit,ours,1668.698,1659.486,1682.190,1654.001,1666.094,12.326,98.116
32768,unit,cublas,1697.158,1702.154,1709.530,1683.482,1698.081,10.980,98.116
32768,signed8,ours,1439.476,1422.304,1454.878,1424.485,1435.286,15.128,97.879
32768,signed8,cublas,1468.741,1464.231,1466.810,1465.783,1466.391,1.892,97.879
