size,input,method,sample1,sample2,sample3,sample4,mean,sample_sd,ours_over_cublas_pct
8192,unit,ours,1767.349,1766.767,1767.694,1765.188,1766.749,1.109,98.181
8192,unit,cublas,1803.812,1798.073,1801.467,1794.598,1799.487,4.022,98.181
8192,signed8,ours,1593.562,1590.390,1588.478,1588.434,1590.216,2.410,98.823
8192,signed8,cublas,1609.627,1609.612,1610.079,1607.308,1609.157,1.251,98.823
16384,unit,ours,1831.926,1825.485,1828.599,1831.276,1829.322,2.935,96.599
16384,unit,cublas,1894.155,1892.687,1893.479,1894.583,1893.726,0.828,96.599
16384,signed8,ours,1617.386,1622.177,1624.136,1618.780,1620.620,3.089,96.444
16384,signed8,cublas,1679.620,1677.159,1682.886,1681.840,1680.376,2.541,96.444
32768,unit,ours,1579.007,1580.290,1569.237,1591.517,1580.013,9.121,98.557
32768,unit,cublas,1597.887,1620.696,1598.370,1595.605,1603.139,11.766,98.557
32768,signed8,ours,1377.089,1367.999,1373.754,1368.136,1371.745,4.459,96.744
32768,signed8,cublas,1414.017,1402.847,1419.278,1435.502,1417.911,13.582,96.744
