position	pass	size	input	method
1	1	8192	unit	ours
2	1	8192	unit	cublas
3	1	8192	signed8	ours
4	1	8192	signed8	cublas
5	1	16384	unit	ours
6	1	16384	unit	cublas
7	1	16384	signed8	ours
8	1	16384	signed8	cublas
9	1	32768	unit	ours
10	1	32768	unit	cublas
11	1	32768	signed8	ours
12	1	32768	signed8	cublas
1	2	32768	signed8	cublas
2	2	32768	signed8	ours
3	2	32768	unit	cublas
4	2	32768	unit	ours
5	2	16384	signed8	cublas
6	2	16384	signed8	ours
7	2	16384	unit	cublas
8	2	16384	unit	ours
9	2	8192	signed8	cublas
10	2	8192	signed8	ours
11	2	8192	unit	cublas
12	2	8192	unit	ours
1	3	16384	signed8	ours
2	3	16384	signed8	cublas
3	3	16384	unit	ours
4	3	16384	unit	cublas
5	3	8192	signed8	ours
6	3	8192	signed8	cublas
7	3	8192	unit	ours
8	3	8192	unit	cublas
9	3	32768	signed8	ours
10	3	32768	signed8	cublas
11	3	32768	unit	ours
12	3	32768	unit	cublas
1	4	32768	unit	cublas
2	4	32768	unit	ours
3	4	32768	signed8	cublas
4	4	32768	signed8	ours
5	4	8192	unit	cublas
6	4	8192	unit	ours
7	4	8192	signed8	cublas
8	4	8192	signed8	ours
9	4	16384	unit	cublas
10	4	16384	unit	ours
11	4	16384	signed8	cublas
12	4	16384	signed8	ours
