input,size,implementation,processes,run1_tflops,run2_tflops,run3_tflops,mean_tflops,sample_sd_tflops
unit,8192,custom,3,1713.395,1712.780,1713.583,1713.253,0.420
unit,8192,cublas,3,1788.024,1790.073,1784.328,1787.475,2.912
unit,8192,cutlass,3,1651.390,1647.360,1648.360,1649.037,2.098
unit,16384,custom,3,1784.713,1784.236,1782.939,1783.963,0.918
unit,16384,cublas,3,1873.918,1871.012,1874.813,1873.248,1.987
unit,16384,cutlass,3,1433.900,1432.650,1433.700,1433.417,0.671
unit,32768,custom,3,1625.124,1628.632,1624.114,1625.957,2.371
unit,32768,cublas,3,1604.145,1636.472,1647.598,1629.405,22.572
unit,32768,cutlass,3,1262.210,1275.140,1269.840,1269.063,6.500
signed8,8192,custom,3,1549.453,1546.399,1544.341,1546.731,2.572
signed8,8192,cublas,3,1594.094,1593.399,1592.291,1593.261,0.909
signed8,8192,cutlass,3,1462.120,1458.080,1457.320,1459.173,2.580
signed8,16384,custom,3,1588.300,1583.825,1584.802,1585.642,2.353
signed8,16384,cublas,3,1667.981,1662.782,1664.676,1665.146,2.631
signed8,16384,cutlass,3,1299.290,1291.400,1289.860,1293.517,5.059
signed8,32768,custom,3,1387.673,1398.413,1403.141,1396.409,7.926
signed8,32768,cublas,3,1431.979,1396.523,1402.046,1410.183,19.077
signed8,32768,cutlass,3,1103.710,1099.330,1103.160,1102.067,2.386
