size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random-signed8,142,0,8,1241,25,13,0,scheduler_atomic,0,interval,788122301976006,788122301976276,0,270,270,270,1,270.000000
16384,random-signed8,142,0,8,1241,25,13,1,scheduler_barrier,0,interval,788122301976319,788122301976389,313,383,70,70,1,70.000000
16384,random-signed8,142,0,8,1241,25,13,2,scheduler_barrier,1,interval,788122301976012,788122301976046,6,40,34,34,1,34.000000
16384,random-signed8,142,0,8,1241,25,13,3,scheduler_barrier,2,interval,788122301976014,788122301976048,8,42,34,34,1,34.000000
16384,random-signed8,142,0,8,1241,25,13,4,scheduler_barrier,3,interval,788122301976021,788122301976055,15,49,34,34,1,34.000000
16384,random-signed8,142,0,8,1241,25,13,5,scheduler_decode,0,interval,788122301976410,788122301976809,404,803,399,399,1,399.000000
16384,random-signed8,142,0,8,1241,25,13,6,producer_reuse_wait_and_tma_issue_loop,0,interval,788122301976902,788122302239308,896,263302,262406,262406,1,262406.000000
16384,random-signed8,142,0,8,1241,25,13,7,producer_reuse_wait_and_tma_issue_loop,1,interval,788122301976900,788122302239343,894,263337,262443,262443,1,262443.000000
16384,random-signed8,142,0,8,1241,25,13,8,consumer_mainloop_and_final_drain,2,interval,788122301976975,788122302242138,969,266132,265163,265163,1,265163.000000
16384,random-signed8,142,0,8,1241,25,13,9,consumer_mainloop_and_final_drain,3,interval,788122301976983,788122302242244,977,266238,265261,265261,1,265261.000000
16384,random-signed8,142,0,8,1241,25,13,10,consumer_wait_a,2,aggregate,788122301977151,788122302240611,1145,264605,263460,36692,256,143.328125
16384,random-signed8,142,0,8,1241,25,13,11,consumer_wait_a,3,aggregate,788122301977159,788122302240872,1153,264866,263713,36709,256,143.394531
16384,random-signed8,142,0,8,1241,25,13,12,consumer_wait_b0,2,aggregate,788122301978078,788122302240724,2072,264718,262646,25827,256,100.886719
16384,random-signed8,142,0,8,1241,25,13,13,consumer_wait_b0,3,aggregate,788122301978092,788122302240985,2086,264979,262893,25370,256,99.101562
16384,random-signed8,142,0,8,1241,25,13,14,consumer_mma_b0_issue,2,aggregate,788122301978656,788122302240916,2650,264910,262260,45056,512,88.000000
16384,random-signed8,142,0,8,1241,25,13,15,consumer_mma_b0_issue,3,aggregate,788122301978668,788122302241177,2662,265171,262509,45056,512,88.000000
16384,random-signed8,142,0,8,1241,25,13,16,consumer_wait_b1,2,aggregate,788122301978848,788122302241016,2842,265010,262168,21554,256,84.195312
16384,random-signed8,142,0,8,1241,25,13,17,consumer_wait_b1,3,aggregate,788122301978860,788122302241277,2854,265271,262417,21574,256,84.273438
16384,random-signed8,142,0,8,1241,25,13,18,consumer_mma_b1_issue,2,aggregate,788122301978948,788122302241191,2942,265185,262243,40704,512,79.500000
16384,random-signed8,142,0,8,1241,25,13,19,consumer_mma_b1_issue,3,aggregate,788122301978960,788122302241452,2954,265446,262492,40704,512,79.500000
16384,random-signed8,142,0,8,1241,25,13,20,consumer_mma_commit,2,aggregate,788122301979123,788122302241274,3117,265268,262151,17152,256,67.000000
16384,random-signed8,142,0,8,1241,25,13,21,consumer_mma_commit,3,aggregate,788122301979135,788122302241535,3129,265529,262400,17152,256,67.000000
16384,random-signed8,142,0,8,1241,25,13,22,consumer_final_mma_drain,2,interval,788122302241425,788122302242138,265419,266132,713,713,1,713.000000
16384,random-signed8,142,0,8,1241,25,13,23,consumer_final_mma_drain,3,interval,788122302241682,788122302242244,265676,266238,562,562,1,562.000000
16384,random-signed8,142,0,8,1241,25,13,24,mainloop_join_barrier,0,interval,788122302239438,788122302242504,263432,266498,3066,3066,1,3066.000000
16384,random-signed8,142,0,8,1241,25,13,25,mainloop_join_barrier,1,interval,788122302239415,788122302242504,263409,266498,3089,3089,1,3089.000000
16384,random-signed8,142,0,8,1241,25,13,26,mainloop_join_barrier,2,interval,788122302242309,788122302242504,266303,266498,195,195,1,195.000000
16384,random-signed8,142,0,8,1241,25,13,27,mainloop_join_barrier,3,interval,788122302242414,788122302242504,266408,266498,90,90,1,90.000000
16384,random-signed8,142,0,8,1241,25,13,28,epilogue_chunk_0_stage_and_tma_issue,0,interval,788122302242717,788122302243560,266711,267554,843,843,1,843.000000
16384,random-signed8,142,0,8,1241,25,13,29,epilogue_chunk_0_stage_and_tma_issue,1,interval,788122302242721,788122302243560,266715,267554,839,839,1,839.000000
16384,random-signed8,142,0,8,1241,25,13,30,epilogue_chunk_0_stage_and_tma_issue,2,interval,788122302242725,788122302243563,266719,267557,838,838,1,838.000000
16384,random-signed8,142,0,8,1241,25,13,31,epilogue_chunk_0_stage_and_tma_issue,3,interval,788122302242729,788122302243565,266723,267559,836,836,1,836.000000
16384,random-signed8,142,0,8,1241,25,13,32,epilogue_chunk_1_stage_and_tma_issue,0,interval,788122302243581,788122302244452,267575,268446,871,871,1,871.000000
16384,random-signed8,142,0,8,1241,25,13,33,epilogue_chunk_1_stage_and_tma_issue,1,interval,788122302243581,788122302244448,267575,268442,867,867,1,867.000000
16384,random-signed8,142,0,8,1241,25,13,34,epilogue_chunk_1_stage_and_tma_issue,2,interval,788122302243584,788122302244452,267578,268446,868,868,1,868.000000
16384,random-signed8,142,0,8,1241,25,13,35,epilogue_chunk_1_stage_and_tma_issue,3,interval,788122302243586,788122302244453,267580,268447,867,867,1,867.000000
16384,random-signed8,142,0,8,1241,25,13,36,epilogue_chunk_2_stage_and_tma_issue,0,interval,788122302247758,788122302248607,271752,272601,849,849,1,849.000000
16384,random-signed8,142,0,8,1241,25,13,37,epilogue_chunk_2_stage_and_tma_issue,1,interval,788122302247758,788122302248604,271752,272598,846,846,1,846.000000
16384,random-signed8,142,0,8,1241,25,13,38,epilogue_chunk_2_stage_and_tma_issue,2,interval,788122302247758,788122302248607,271752,272601,849,849,1,849.000000
16384,random-signed8,142,0,8,1241,25,13,39,epilogue_chunk_2_stage_and_tma_issue,3,interval,788122302247758,788122302248608,271752,272602,850,850,1,850.000000
16384,random-signed8,142,0,8,1241,25,13,40,epilogue_chunk_3_stage_and_tma_issue,0,interval,788122302248628,788122302249488,272622,273482,860,860,1,860.000000
16384,random-signed8,142,0,8,1241,25,13,41,epilogue_chunk_3_stage_and_tma_issue,1,interval,788122302248625,788122302249488,272619,273482,863,863,1,863.000000
16384,random-signed8,142,0,8,1241,25,13,42,epilogue_chunk_3_stage_and_tma_issue,2,interval,788122302248628,788122302249488,272622,273482,860,860,1,860.000000
16384,random-signed8,142,0,8,1241,25,13,43,epilogue_chunk_3_stage_and_tma_issue,3,interval,788122302248629,788122302249488,272623,273482,859,859,1,859.000000
16384,random-signed8,142,0,8,1241,25,13,44,epilogue_group_0_commit_wait_and_barrier,0,interval,788122302244503,788122302247736,268497,271730,3233,3233,1,3233.000000
16384,random-signed8,142,0,8,1241,25,13,45,epilogue_group_0_commit_wait_and_barrier,1,interval,788122302244500,788122302244564,268494,268558,64,64,1,64.000000
16384,random-signed8,142,0,8,1241,25,13,46,epilogue_group_0_commit_wait_and_barrier,2,interval,788122302244504,788122302244568,268498,268562,64,64,1,64.000000
16384,random-signed8,142,0,8,1241,25,13,47,epilogue_group_0_commit_wait_and_barrier,3,interval,788122302244512,788122302244576,268506,268570,64,64,1,64.000000
16384,random-signed8,142,0,8,1241,25,13,48,epilogue_group_1_commit_wait_and_barrier,0,interval,788122302249545,788122302252767,273539,276761,3222,3222,1,3222.000000
16384,random-signed8,142,0,8,1241,25,13,49,epilogue_group_1_commit_wait_and_barrier,1,interval,788122302249531,788122302249597,273525,273591,66,66,1,66.000000
16384,random-signed8,142,0,8,1241,25,13,50,epilogue_group_1_commit_wait_and_barrier,2,interval,788122302249533,788122302249598,273527,273592,65,65,1,65.000000
16384,random-signed8,142,0,8,1241,25,13,51,epilogue_group_1_commit_wait_and_barrier,3,interval,788122302249534,788122302249599,273528,273593,65,65,1,65.000000
16384,random-signed8,142,0,8,1241,25,13,52,epilogue_complete,0,interval,788122302242713,788122302252790,266707,276784,10077,10077,1,10077.000000
16384,random-signed8,142,0,8,1241,25,13,53,epilogue_complete,1,interval,788122302242717,788122302252790,266711,276784,10073,10073,1,10073.000000
16384,random-signed8,142,0,8,1241,25,13,54,epilogue_complete,2,interval,788122302242721,788122302252790,266715,276784,10069,10069,1,10069.000000
16384,random-signed8,142,0,8,1241,25,13,55,epilogue_complete,3,interval,788122302242725,788122302252790,266719,276784,10065,10065,1,10065.000000
16384,random-signed8,142,0,8,1241,25,13,56,final_tile_barrier,0,interval,788122302252956,788122302252982,276950,276976,26,26,1,26.000000
