size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random,142,0,8,1241,25,13,0,scheduler_atomic,0,interval,788110992180225,788110992180514,0,289,289,289,1,289.000000
16384,random,142,0,8,1241,25,13,1,scheduler_barrier,0,interval,788110992180557,788110992180627,332,402,70,70,1,70.000000
16384,random,142,0,8,1241,25,13,2,scheduler_barrier,1,interval,788110992180231,788110992180265,6,40,34,34,1,34.000000
16384,random,142,0,8,1241,25,13,3,scheduler_barrier,2,interval,788110992180233,788110992180267,8,42,34,34,1,34.000000
16384,random,142,0,8,1241,25,13,4,scheduler_barrier,3,interval,788110992180240,788110992180274,15,49,34,34,1,34.000000
16384,random,142,0,8,1241,25,13,5,scheduler_decode,0,interval,788110992180648,788110992181047,423,822,399,399,1,399.000000
16384,random,142,0,8,1241,25,13,6,producer_reuse_wait_and_tma_issue_loop,0,interval,788110992181140,788110992446063,915,265838,264923,264923,1,264923.000000
16384,random,142,0,8,1241,25,13,7,producer_reuse_wait_and_tma_issue_loop,1,interval,788110992181138,788110992446029,913,265804,264891,264891,1,264891.000000
16384,random,142,0,8,1241,25,13,8,consumer_mainloop_and_final_drain,2,interval,788110992181213,788110992448861,988,268636,267648,267648,1,267648.000000
16384,random,142,0,8,1241,25,13,9,consumer_mainloop_and_final_drain,3,interval,788110992181221,788110992448755,996,268530,267534,267534,1,267534.000000
16384,random,142,0,8,1241,25,13,10,consumer_wait_a,2,aggregate,788110992181389,788110992447485,1164,267260,266096,39416,256,153.968750
16384,random,142,0,8,1241,25,13,11,consumer_wait_a,3,aggregate,788110992181397,788110992447238,1172,267013,265841,40817,256,159.441406
16384,random,142,0,8,1241,25,13,12,consumer_wait_b0,2,aggregate,788110992182776,788110992447598,2551,267373,264822,25755,256,100.605469
16384,random,142,0,8,1241,25,13,13,consumer_wait_b0,3,aggregate,788110992182633,788110992447359,2408,267134,264726,25109,256,98.082031
16384,random,142,0,8,1241,25,13,14,consumer_mma_b0_issue,2,aggregate,788110992182889,788110992447790,2664,267565,264901,45056,512,88.000000
16384,random,142,0,8,1241,25,13,15,consumer_mma_b0_issue,3,aggregate,788110992182907,788110992447551,2682,267326,264644,45056,512,88.000000
16384,random,142,0,8,1241,25,13,16,consumer_wait_b1,2,aggregate,788110992183081,788110992447890,2856,267665,264809,21593,256,84.347656
