slot,event,warp,kind,n,envelope_median,envelope_min,envelope_max,total_median,total_min,total_max,avg_sample_median
0,scheduler_atomic,0,interval,5,271,270,329,271,270,329,271.000000
1,scheduler_barrier,0,interval,5,70,70,70,70,70,70,70.000000
2,scheduler_barrier,1,interval,5,34,34,34,34,34,34,34.000000
3,scheduler_barrier,2,interval,5,34,34,34,34,34,34,34.000000
4,scheduler_barrier,3,interval,5,34,34,34,34,34,34,34.000000
5,scheduler_decode,0,interval,5,399,399,399,399,399,399,399.000000
6,producer_reuse_wait_and_tma_issue_loop,0,interval,5,262406,262238,263365,262406,262238,263365,262406.000000
7,producer_reuse_wait_and_tma_issue_loop,1,interval,5,262443,262241,263372,262443,262241,263372,262443.000000
8,consumer_mainloop_and_final_drain,2,interval,5,265163,264995,266177,265163,264995,266177,265163.000000
9,consumer_mainloop_and_final_drain,3,interval,5,265261,265044,266063,265261,265044,266063,265261.000000
10,consumer_wait_a,2,aggregate,5,263606,263292,264625,36692,35257,37687,143.328125
11,consumer_wait_a,3,aggregate,5,263713,263346,264365,36709,36147,38361,143.394531
12,consumer_wait_b0,2,aggregate,5,262787,262323,263199,25715,25526,26632,100.449219
13,consumer_wait_b0,3,aggregate,5,262814,262526,262942,25248,24932,26345,98.625000
14,consumer_mma_b0_issue,2,aggregate,5,262556,262092,263278,45056,45056,45056,88.000000
15,consumer_mma_b0_issue,3,aggregate,5,262509,262295,263018,45056,45056,45056,88.000000
16,consumer_wait_b1,2,aggregate,5,262464,262000,263186,21561,21550,21566,84.222656
17,consumer_wait_b1,3,aggregate,5,262417,262203,262926,21583,21553,21722,84.308594
18,consumer_mma_b1_issue,2,aggregate,5,262539,262075,263261,40704,40704,40704,79.500000
19,consumer_mma_b1_issue,3,aggregate,5,262492,262277,263001,40704,40704,40704,79.500000
20,consumer_mma_commit,2,aggregate,5,262447,261983,263169,17152,17152,17152,67.000000
21,consumer_mma_commit,3,aggregate,5,262400,262185,262909,17152,17152,17152,67.000000
22,consumer_final_mma_drain,2,interval,5,562,562,713,562,562,713,562.000000
23,consumer_final_mma_drain,3,interval,5,713,562,713,713,562,713,713.000000
24,mainloop_join_barrier,0,interval,5,3014,2935,3066,3014,2935,3066,3014.000000
25,mainloop_join_barrier,1,interval,5,3089,3068,3125,3089,3068,3125,3089.000000
26,mainloop_join_barrier,2,interval,5,90,90,195,90,90,195,90.000000
27,mainloop_join_barrier,3,interval,5,195,90,195,195,90,195,195.000000
28,epilogue_chunk_0_stage_and_tma_issue,0,interval,5,839,839,843,839,839,843,839.000000
29,epilogue_chunk_0_stage_and_tma_issue,1,interval,5,839,838,840,839,838,840,839.000000
30,epilogue_chunk_0_stage_and_tma_issue,2,interval,5,836,834,838,836,834,838,836.000000
31,epilogue_chunk_0_stage_and_tma_issue,3,interval,5,843,836,843,843,836,843,843.000000
32,epilogue_chunk_1_stage_and_tma_issue,0,interval,5,872,871,872,872,871,872,872.000000
33,epilogue_chunk_1_stage_and_tma_issue,1,interval,5,867,867,868,867,867,868,867.000000
34,epilogue_chunk_1_stage_and_tma_issue,2,interval,5,868,867,868,868,867,868,868.000000
35,epilogue_chunk_1_stage_and_tma_issue,3,interval,5,868,867,868,868,867,868,868.000000
36,epilogue_chunk_2_stage_and_tma_issue,0,interval,5,852,849,853,852,849,853,852.000000
37,epilogue_chunk_2_stage_and_tma_issue,1,interval,5,847,846,850,847,846,850,847.000000
38,epilogue_chunk_2_stage_and_tma_issue,2,interval,5,849,846,852,849,846,852,849.000000
39,epilogue_chunk_2_stage_and_tma_issue,3,interval,5,847,846,850,847,846,850,847.000000
40,epilogue_chunk_3_stage_and_tma_issue,0,interval,5,860,860,861,860,860,861,860.000000
41,epilogue_chunk_3_stage_and_tma_issue,1,interval,5,863,863,866,863,863,866,863.000000
42,epilogue_chunk_3_stage_and_tma_issue,2,interval,5,861,860,867,861,860,867,861.000000
43,epilogue_chunk_3_stage_and_tma_issue,3,interval,5,866,859,867,866,859,867,866.000000
44,epilogue_group_0_commit_wait_and_barrier,0,interval,5,3232,3232,3233,3232,3232,3233,3232.000000
45,epilogue_group_0_commit_wait_and_barrier,1,interval,5,64,64,64,64,64,64,64.000000
46,epilogue_group_0_commit_wait_and_barrier,2,interval,5,64,64,64,64,64,64,64.000000
47,epilogue_group_0_commit_wait_and_barrier,3,interval,5,64,64,64,64,64,64,64.000000
48,epilogue_group_1_commit_wait_and_barrier,0,interval,5,3221,3219,3222,3221,3219,3222,3221.000000
49,epilogue_group_1_commit_wait_and_barrier,1,interval,5,66,65,66,66,65,66,66.000000
50,epilogue_group_1_commit_wait_and_barrier,2,interval,5,65,65,65,65,65,65,65.000000
51,epilogue_group_1_commit_wait_and_barrier,3,interval,5,65,65,65,65,65,65,65.000000
52,epilogue_complete,0,interval,5,10076,10074,10077,10076,10074,10077,10076.000000
53,epilogue_complete,1,interval,5,10072,10070,10073,10072,10070,10073,10072.000000
54,epilogue_complete,2,interval,5,10068,10066,10069,10068,10066,10069,10068.000000
55,epilogue_complete,3,interval,5,10078,10065,10080,10078,10065,10080,10078.000000
56,final_tile_barrier,0,interval,5,26,26,26,26,26,26,26.000000
57,final_tile_barrier,1,interval,5,121,118,121,121,118,121,121.000000
58,final_tile_barrier,2,interval,5,119,118,121,119,118,121,119.000000
