slot,event,warp,kind,n,envelope_median,envelope_min,envelope_max,total_median,total_min,total_max,avg_sample_median
0,scheduler_atomic,0,interval,5,306,288,401,306,288,401,306.000000
1,scheduler_barrier,0,interval,5,70,70,70,70,70,70,70.000000
2,scheduler_barrier,1,interval,5,34,34,34,34,34,34,34.000000
3,scheduler_barrier,2,interval,5,34,34,34,34,34,34,34.000000
4,scheduler_barrier,3,interval,5,34,34,34,34,34,34,34.000000
5,scheduler_decode,0,interval,5,399,399,399,399,399,399,399.000000
6,producer_reuse_wait_and_tma_issue_loop,0,interval,5,264923,264333,265448,264923,264333,265448,264923.000000
7,producer_reuse_wait_and_tma_issue_loop,1,interval,5,264891,264313,265306,264891,264313,265306,264891.000000
8,consumer_mainloop_and_final_drain,2,interval,5,267648,267081,268163,267648,267081,268163,267648.000000
9,consumer_mainloop_and_final_drain,3,interval,5,267534,267179,268261,267534,267179,268261,267534.000000
10,consumer_wait_a,2,aggregate,5,266096,265378,266570,39416,38664,42308,153.968750
11,consumer_wait_a,3,aggregate,5,265841,265631,266713,38940,38505,40817,152.109375
12,consumer_wait_b0,2,aggregate,5,264822,263952,265144,25755,25331,27400,100.605469
13,consumer_wait_b0,3,aggregate,5,264726,264208,265238,25244,24927,26655,98.609375
14,consumer_mma_b0_issue,2,aggregate,5,264901,263865,265058,45056,45056,45056,88.000000
15,consumer_mma_b0_issue,3,aggregate,5,264644,264118,265214,45056,45056,45056,88.000000
16,consumer_wait_b1,2,aggregate,5,264809,263773,264966,21569,21557,22389,84.253906
17,consumer_wait_b1,3,aggregate,5,264552,264026,265122,21592,21577,22079,84.343750
18,consumer_mma_b1_issue,2,aggregate,5,264884,263848,265041,40704,40704,40704,79.500000
19,consumer_mma_b1_issue,3,aggregate,5,264627,264101,265197,40704,40704,40704,79.500000
20,consumer_mma_commit,2,aggregate,5,264792,263756,264949,17152,17152,17152,67.000000
21,consumer_mma_commit,3,aggregate,5,264535,264009,265105,17152,17152,17152,67.000000
22,consumer_final_mma_drain,2,interval,5,713,562,713,713,562,713,713.000000
23,consumer_final_mma_drain,3,interval,5,562,562,713,562,562,713,562.000000
24,mainloop_join_barrier,0,interval,5,3057,2928,3119,3057,2928,3119,3057.000000
25,mainloop_join_barrier,1,interval,5,3137,3020,3226,3137,3020,3226,3137.000000
26,mainloop_join_barrier,2,interval,5,195,90,235,195,90,235,195.000000
27,mainloop_join_barrier,3,interval,5,90,90,195,90,90,195,90.000000
28,epilogue_chunk_0_stage_and_tma_issue,0,interval,5,843,839,843,843,839,843,843.000000
29,epilogue_chunk_0_stage_and_tma_issue,1,interval,5,839,838,839,839,838,839,839.000000
30,epilogue_chunk_0_stage_and_tma_issue,2,interval,5,838,836,838,838,836,838,838.000000
31,epilogue_chunk_0_stage_and_tma_issue,3,interval,5,836,836,843,836,836,843,836.000000
32,epilogue_chunk_1_stage_and_tma_issue,0,interval,5,871,870,871,871,870,871,871.000000
33,epilogue_chunk_1_stage_and_tma_issue,1,interval,5,868,867,868,868,867,868,868.000000
34,epilogue_chunk_1_stage_and_tma_issue,2,interval,5,868,867,868,868,867,868,868.000000
35,epilogue_chunk_1_stage_and_tma_issue,3,interval,5,867,867,868,867,867,868,867.000000
36,epilogue_chunk_2_stage_and_tma_issue,0,interval,5,849,849,849,849,849,849,849.000000
37,epilogue_chunk_2_stage_and_tma_issue,1,interval,5,846,846,849,846,846,849,846.000000
38,epilogue_chunk_2_stage_and_tma_issue,2,interval,5,849,849,850,849,849,850,849.000000
39,epilogue_chunk_2_stage_and_tma_issue,3,interval,5,850,846,850,850,846,850,850.000000
40,epilogue_chunk_3_stage_and_tma_issue,0,interval,5,860,860,860,860,860,860,860.000000
41,epilogue_chunk_3_stage_and_tma_issue,1,interval,5,863,860,863,863,860,863,863.000000
42,epilogue_chunk_3_stage_and_tma_issue,2,interval,5,860,859,860,860,859,860,860.000000
43,epilogue_chunk_3_stage_and_tma_issue,3,interval,5,859,859,863,859,859,863,859.000000
44,epilogue_group_0_commit_wait_and_barrier,0,interval,5,3233,3233,3233,3233,3233,3233,3233.000000
45,epilogue_group_0_commit_wait_and_barrier,1,interval,5,64,64,64,64,64,64,64.000000
46,epilogue_group_0_commit_wait_and_barrier,2,interval,5,64,64,64,64,64,64,64.000000
47,epilogue_group_0_commit_wait_and_barrier,3,interval,5,64,64,65,64,64,65,64.000000
48,epilogue_group_1_commit_wait_and_barrier,0,interval,5,3222,3222,3234,3222,3222,3234,3222.000000
49,epilogue_group_1_commit_wait_and_barrier,1,interval,5,66,65,66,66,65,66,66.000000
50,epilogue_group_1_commit_wait_and_barrier,2,interval,5,65,65,65,65,65,65,65.000000
51,epilogue_group_1_commit_wait_and_barrier,3,interval,5,65,65,66,65,65,66,65.000000
52,epilogue_complete,0,interval,5,10077,10073,10077,10077,10073,10077,10077.000000
53,epilogue_complete,1,interval,5,10073,10069,10073,10073,10069,10073,10073.000000
54,epilogue_complete,2,interval,5,10069,10065,10069,10069,10065,10069,10069.000000
55,epilogue_complete,3,interval,5,10065,10065,10077,10065,10065,10077,10065.000000
