size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,kind,start_raw,end_raw,start_rel,end_rel,envelope_cycles,total_cycles,sample_count,avg_cycles_per_sample
16384,random,142,0,8,1196,28,10,0,scheduler_atomic,0,interval,51121192944412,51121192945058,0,646,646,646,1,646.000000
16384,random,142,0,8,1196,28,10,1,scheduler_barrier,0,interval,51121192945101,51121192945171,689,759,70,70,1,70.000000
16384,random,142,0,8,1196,28,10,2,scheduler_barrier,1,interval,51121192944418,51121192944452,6,40,34,34,1,34.000000
16384,random,142,0,8,1196,28,10,3,scheduler_barrier,2,interval,51121192944420,51121192944454,8,42,34,34,1,34.000000
16384,random,142,0,8,1196,28,10,4,scheduler_barrier,3,interval,51121192944427,51121192944461,15,49,34,34,1,34.000000
16384,random,142,0,8,1196,28,10,5,scheduler_decode,0,interval,51121192945192,51121192945591,780,1179,399,399,1,399.000000
16384,random,142,0,8,1196,28,10,6,producer_reuse_wait_and_tma_issue_loop,0,interval,51121192945684,51121193210210,1272,265798,264526,264526,1,264526.000000
16384,random,142,0,8,1196,28,10,7,producer_reuse_wait_and_tma_issue_loop,1,interval,51121192945682,51121193210174,1270,265762,264492,264492,1,264492.000000
16384,random,142,0,8,1196,28,10,8,consumer_mainloop_and_final_drain,2,interval,51121192945757,51121193213018,1345,268606,267261,267261,1,267261.000000
16384,random,142,0,8,1196,28,10,9,consumer_mainloop_and_final_drain,3,interval,51121192945765,51121193213124,1353,268712,267359,267359,1,267359.000000
16384,random,142,0,8,1196,28,10,10,consumer_wait_a,2,aggregate,51121192945933,51121193211499,1521,267087,265566,38692,256,151.140625
16384,random,142,0,8,1196,28,10,11,consumer_wait_a,3,aggregate,51121192945941,51121193211752,1529,267340,265811,37748,256,147.453125
16384,random,142,0,8,1196,28,10,12,consumer_wait_b0,2,aggregate,51121192947472,51121193211614,3060,267202,264142,26700,256,104.296875
16384,random,142,0,8,1196,28,10,13,consumer_wait_b0,3,aggregate,51121192947480,51121193211865,3068,267453,264385,26695,256,104.277344
16384,random,142,0,8,1196,28,10,14,consumer_mma_b0_issue,2,aggregate,51121192947585,51121193211806,3173,267394,264221,45056,512,88.000000
16384,random,142,0,8,1196,28,10,15,consumer_mma_b0_issue,3,aggregate,51121192947593,51121193212057,3181,267645,264464,45056,512,88.000000
16384,random,142,0,8,1196,28,10,16,consumer_wait_b1,2,aggregate,51121192947777,51121193211906,3365,267494,264129,22214,256,86.773438
16384,random,142,0,8,1196,28,10,17,consumer_wait_b1,3,aggregate,51121192947785,51121193212157,3373,267745,264372,22257,256,86.941406
16384,random,142,0,8,1196,28,10,18,consumer_mma_b1_issue,2,aggregate,51121192948038,51121193212081,3626,267669,264043,40704,512,79.500000
16384,random,142,0,8,1196,28,10,19,consumer_mma_b1_issue,3,aggregate,51121192948046,51121193212332,3634,267920,264286,40704,512,79.500000
16384,random,142,0,8,1196,28,10,20,consumer_mma_commit,2,aggregate,51121192948213,51121193212164,3801,267752,263951,17152,256,67.000000
16384,random,142,0,8,1196,28,10,21,consumer_mma_commit,3,aggregate,51121192948221,51121193212415,3809,268003,264194,17152,256,67.000000
16384,random,142,0,8,1196,28,10,22,consumer_final_mma_drain,2,interval,51121193212305,51121193213018,267893,268606,713,713,1,713.000000
16384,random,142,0,8,1196,28,10,23,consumer_final_mma_drain,3,interval,51121193212562,51121193213124,268150,268712,562,562,1,562.000000
16384,random,142,0,8,1196,28,10,24,mainloop_join_barrier,0,interval,51121193210341,51121193213384,265929,268972,3043,3043,1,3043.000000
16384,random,142,0,8,1196,28,10,25,mainloop_join_barrier,1,interval,51121193210246,51121193213384,265834,268972,3138,3138,1,3138.000000
16384,random,142,0,8,1196,28,10,26,mainloop_join_barrier,2,interval,51121193213189,51121193213384,268777,268972,195,195,1,195.000000
16384,random,142,0,8,1196,28,10,27,mainloop_join_barrier,3,interval,51121193213294,51121193213384,268882,268972,90,90,1,90.000000
16384,random,142,0,8,1196,28,10,28,epilogue_chunk_0_stage_and_tma_issue,0,interval,51121193213597,51121193214440,269185,270028,843,843,1,843.000000
16384,random,142,0,8,1196,28,10,29,epilogue_chunk_0_stage_and_tma_issue,1,interval,51121193213601,51121193214440,269189,270028,839,839,1,839.000000
16384,random,142,0,8,1196,28,10,30,epilogue_chunk_0_stage_and_tma_issue,2,interval,51121193213605,51121193214443,269193,270031,838,838,1,838.000000
16384,random,142,0,8,1196,28,10,31,epilogue_chunk_0_stage_and_tma_issue,3,interval,51121193213609,51121193214445,269197,270033,836,836,1,836.000000
16384,random,142,0,8,1196,28,10,32,epilogue_chunk_1_stage_and_tma_issue,0,interval,51121193214461,51121193215332,270049,270920,871,871,1,871.000000
16384,random,142,0,8,1196,28,10,33,epilogue_chunk_1_stage_and_tma_issue,1,interval,51121193214461,51121193215329,270049,270917,868,868,1,868.000000
16384,random,142,0,8,1196,28,10,34,epilogue_chunk_1_stage_and_tma_issue,2,interval,51121193214464,51121193215332,270052,270920,868,868,1,868.000000
16384,random,142,0,8,1196,28,10,35,epilogue_chunk_1_stage_and_tma_issue,3,interval,51121193214466,51121193215333,270054,270921,867,867,1,867.000000
16384,random,142,0,8,1196,28,10,36,epilogue_chunk_2_stage_and_tma_issue,0,interval,51121193218638,51121193219487,274226,275075,849,849,1,849.000000
16384,random,142,0,8,1196,28,10,37,epilogue_chunk_2_stage_and_tma_issue,1,interval,51121193218638,51121193219484,274226,275072,846,846,1,846.000000
16384,random,142,0,8,1196,28,10,38,epilogue_chunk_2_stage_and_tma_issue,2,interval,51121193218638,51121193219487,274226,275075,849,849,1,849.000000
