input,variant,sample_1,sample_2,sample_3,mean_tflops,sample_sd_tflops,ratio_of_means_delta_percent,mean_paired_delta_percent,matched_control,matched_control_delta_percent,mean_paired_control_delta_percent
random,baseline,1819.092000,1820.239000,1819.169000,1819.500000,0.641150,0.000000,0.000000,baseline,0.000000,0.000000
random,cta4,1815.715000,1820.044000,1822.793000,1819.517333,3.568270,0.000953,0.000952,baseline,0.000953,0.000952
random,cta8,1813.650000,1819.321000,1819.376000,1817.449000,3.290145,-0.112723,-0.112738,baseline,-0.112723,-0.112738
random,b1_gap0,1818.120000,1817.379000,1780.775000,1805.424667,21.350452,-0.773582,-0.773693,baseline,-0.773582,-0.773693
random,b1_gap32,1818.230000,1817.096000,1818.029000,1817.785000,0.605096,-0.094257,-0.094241,b1_gap0,0.684622,0.694163
random,b1_gap64,1820.984000,1817.495000,1813.566000,1817.348333,3.711174,-0.118256,-0.118246,b1_gap0,0.660436,0.668432
random,b1_cross,1816.897000,1817.685000,1815.970000,1816.850667,0.858438,-0.145608,-0.145608,baseline,-0.145608,-0.145608
random-signed8,baseline,1613.236000,1612.359000,1614.799000,1613.464667,1.235968,0.000000,0.000000,baseline,0.000000,0.000000
random-signed8,cta4,1614.012000,1616.244000,1613.940000,1614.732000,1.309925,0.078547,0.078619,baseline,0.078547,0.078619
random-signed8,cta8,1612.085000,1611.960000,1613.542000,1612.529000,0.879507,-0.057991,-0.057979,baseline,-0.057991,-0.057979
random-signed8,b1_gap0,1611.680000,1613.512000,1611.830000,1612.340667,1.017173,-0.069664,-0.069601,baseline,-0.069664,-0.069601
random-signed8,b1_gap32,1617.237000,1599.854000,1613.698000,1610.263000,9.186490,-0.198434,-0.198581,b1_gap0,-0.128860,-0.128596
random-signed8,b1_gap64,1602.783000,1609.551000,1615.834000,1609.389333,6.527002,-0.252583,-0.252671,b1_gap0,-0.183047,-0.183036
random-signed8,b1_cross,1613.815000,1613.128000,1613.357000,1613.433333,0.349803,-0.001942,-0.001905,baseline,-0.001942,-0.001905
