size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,ktiles,k_start,k_count,core_k_count,base_clock,kt,stage_epoch,ring_stage,phase,event_id,related_kt,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,0,0,53,p0_wait_mma_m0,0,51562745856528,51562745857231,9,712,703
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,0,1,53,p0_wait_mma_m1,0,51562745857231,51562745857293,712,774,62
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,2,-1,p0_prepare_and_issue_tma_a,0,51562745857293,51562745857419,774,900,126
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,3,-1,p0_prepare_and_issue_tma_b1,0,51562745857419,51562745857506,900,987,87
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,0,4,53,p1_wait_mma_m0,1,51562745856519,51562745857233,0,714,714
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,0,5,53,p1_wait_mma_m1,1,51562745857233,51562745857310,714,791,77
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,6,-1,p1_prepare_and_issue_tma_b0,1,51562745857310,51562745857465,791,946,155
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,7,-1,c2_wait_tma_a,2,51562745858629,51562745859177,2110,2658,548
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,8,-1,c2_wait_tma_b0,2,51562745859177,51562745859263,2658,2744,86
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,9,-1,c2_prepare_and_issue_mma_b0,2,51562745859263,51562745859428,2744,2909,165
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,10,-1,c2_wait_tma_b1,2,51562745859428,51562745859502,2909,2983,74
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,11,-1,c2_prepare_and_issue_mma_b1,2,51562745859502,51562745859651,2983,3132,149
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,12,-1,c2_commit_mma,2,51562745859651,51562745859710,3132,3191,59
16384,random,142,0,8,1225,25,12,256,56,11,8,51562745856519,56,2104,1,1,13,-1,c3_wait_tma_a,3,51562745858757,51562745859158,2238,2639,401
