session,size,distribution,method,scheduler,n,samples_tflops,mean_tflops,sample_sd_tflops,percent_of_cublas,percent_vs_p0
initial,8192,unit,p0,preserved_size_config,3,"1674.761/1675.121/1674.663",1674.848,0.241,96.375,0.000
initial,8192,unit,e7a,dynamic_16x16_mfast,3,"1706.197/1703.659/1704.826",1704.894,1.270,98.104,1.794
initial,8192,unit,cublas,cublas,3,"1736.147/1739.293/1738.114",1737.851,1.589,100.000,3.762
initial,8192,signed8,p0,preserved_size_config,3,"1486.894/1490.312/1487.976",1488.394,1.747,98.747,0.000
initial,8192,signed8,e7a,dynamic_16x16_mfast,3,"1516.531/1512.472/1515.180",1514.728,2.067,100.494,1.769
initial,8192,signed8,cublas,cublas,3,"1482.058/1519.939/1519.831",1507.276,21.839,100.000,1.269
confirmation,8192,signed8,p0,preserved_size_config,3,"1533.670/1534.396/1536.084",1534.717,1.239,97.089,0.000
confirmation,8192,signed8,e7a,dynamic_16x16_mfast,3,"1555.852/1555.021/1557.093",1555.989,1.043,98.434,1.386
confirmation,8192,signed8,cublas,cublas,3,"1581.372/1579.018/1581.824",1580.738,1.507,100.000,2.999
initial,32768,unit,p0,preserved_size_config,4,"1596.989/1586.893/1593.977/1588.405",1591.566,4.728,97.920,0.000
initial,32768,unit,e7a,dynamic_16x16_mfast,4,"1590.945/1608.890/1601.347/1580.861",1595.511,12.227,98.163,0.248
initial,32768,unit,e7a,dynamic_8x18_mfast,4,"1601.334/1598.702/1621.525/1610.970",1608.133,10.369,98.939,1.041
initial,32768,unit,cublas,cublas,4,"1618.754/1604.145/1653.689/1624.902",1625.373,20.788,100.000,2.124
initial,32768,signed8,p0,preserved_size_config,4,"1323.636/1320.958/1308.281/1313.322",1316.549,7.034,98.826,0.000
initial,32768,signed8,e7a,dynamic_16x16_mfast,4,"1293.922/1255.812/1272.817/1291.038",1278.397,17.720,95.962,-2.898
initial,32768,signed8,e7a,dynamic_8x18_mfast,4,"1348.453/1330.954/1332.420/1343.868",1338.924,8.584,100.505,1.699
initial,32768,signed8,cublas,cublas,4,"1349.405/1344.034/1321.825/1313.514",1332.195,17.252,100.000,1.188
