pass	size	distribution	position	method
1	8192	unit	1	p0
1	8192	unit	2	current_m16n16
1	8192	unit	3	cublas
1	8192	signed8	1	p0
1	8192	signed8	2	current_m16n16
1	8192	signed8	3	cublas
2	8192	signed8	1	current_m16n16
2	8192	signed8	2	cublas
2	8192	signed8	3	p0
2	8192	unit	1	current_m16n16
2	8192	unit	2	cublas
2	8192	unit	3	p0
3	8192	unit	1	cublas
3	8192	unit	2	p0
3	8192	unit	3	current_m16n16
3	8192	signed8	1	cublas
3	8192	signed8	2	p0
3	8192	signed8	3	current_m16n16
1	32768	signed8	1	p0
1	32768	signed8	2	current_m8n18
1	32768	signed8	3	current_m16n16
1	32768	signed8	4	cublas
1	32768	unit	1	p0
1	32768	unit	2	current_m8n18
1	32768	unit	3	current_m16n16
1	32768	unit	4	cublas
2	32768	unit	1	current_m8n18
2	32768	unit	2	current_m16n16
2	32768	unit	3	cublas
2	32768	unit	4	p0
2	32768	signed8	1	current_m8n18
2	32768	signed8	2	current_m16n16
2	32768	signed8	3	cublas
2	32768	signed8	4	p0
3	32768	signed8	1	current_m16n16
3	32768	signed8	2	cublas
3	32768	signed8	3	p0
3	32768	signed8	4	current_m8n18
3	32768	unit	1	current_m16n16
3	32768	unit	2	cublas
3	32768	unit	3	p0
3	32768	unit	4	current_m8n18
4	32768	unit	1	cublas
4	32768	unit	2	p0
4	32768	unit	3	current_m8n18
4	32768	unit	4	current_m16n16
4	32768	signed8	1	cublas
4	32768	signed8	2	p0
4	32768	signed8	3	current_m8n18
4	32768	signed8	4	current_m16n16
