tile_iter,linear_tile,tile_m,tile_n,kt,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,p0_wait_pipe0,0,109794,111522,1728
8,1184,16,20,56,p0_wait_pipe1,0,111522,111568,46
8,1184,16,20,56,p0_issue_a,0,111577,111821,244
8,1184,16,20,56,p0_issue_b0,0,111821,111903,82
8,1184,16,20,56,p1_wait_pipe1,1,109234,111179,1945
8,1184,16,20,56,p1_issue_b1,1,111179,111280,101
8,1184,16,20,56,c2_wait_a,2,114085,114317,232
8,1184,16,20,56,c2_wait_b0,2,112929,114085,1156
8,1184,16,20,56,c2_mma,2,114317,115122,805
8,1184,16,20,56,c2_commit,2,115122,115181,59
8,1184,16,20,56,c3_wait_a,3,112914,113483,569
8,1184,16,20,56,c3_wait_b1,3,112348,112914,566
8,1184,16,20,56,c3_mma,3,113483,114288,805
8,1184,16,20,56,c3_commit,3,114288,114347,59
8,1184,16,20,57,p0_wait_pipe0,0,111990,113113,1123
8,1184,16,20,57,p0_wait_pipe1,0,113113,113159,46
8,1184,16,20,57,p0_issue_a,0,113168,113373,205
8,1184,16,20,57,p0_issue_b0,0,113373,113439,66
8,1184,16,20,57,p1_wait_pipe1,1,111306,112623,1317
8,1184,16,20,57,p1_issue_b1,1,112623,112709,86
8,1184,16,20,57,c2_wait_a,2,115438,115669,231
8,1184,16,20,57,c2_wait_b0,2,115360,115438,78
8,1184,16,20,57,c2_mma,2,115669,116490,821
8,1184,16,20,57,c2_commit,2,116490,116549,59
8,1184,16,20,57,c3_wait_a,3,114615,115032,417
8,1184,16,20,57,c3_wait_b1,3,114536,114615,79
8,1184,16,20,57,c3_mma,3,115032,115837,805
8,1184,16,20,57,c3_commit,3,115837,115896,59
8,1184,16,20,58,p0_wait_pipe0,0,113602,115483,1881
8,1184,16,20,58,p0_wait_pipe1,0,115483,115529,46
8,1184,16,20,58,p0_issue_a,0,115538,115782,244
8,1184,16,20,58,p0_issue_b0,0,115782,115864,82
8,1184,16,20,58,p1_wait_pipe1,1,112729,114474,1745
8,1184,16,20,58,p1_issue_b1,1,114474,114555,81
8,1184,16,20,58,c2_wait_a,2,118026,118257,231
8,1184,16,20,58,c2_wait_b0,2,116735,118026,1291
8,1184,16,20,58,c2_mma,2,118257,119062,805
8,1184,16,20,58,c2_commit,2,119062,119121,59
8,1184,16,20,58,c3_wait_a,3,116160,117630,1470
8,1184,16,20,58,c3_wait_b1,3,116081,116160,79
8,1184,16,20,58,c3_mma,3,117630,118435,805
8,1184,16,20,58,c3_commit,3,118435,118494,59
8,1184,16,20,59,p0_wait_pipe0,0,115952,116936,984
8,1184,16,20,59,p0_wait_pipe1,0,116936,116982,46
8,1184,16,20,59,p0_issue_a,0,116991,117196,205
8,1184,16,20,59,p0_issue_b0,0,117196,117262,66
8,1184,16,20,59,p1_wait_pipe1,1,114601,116324,1723
8,1184,16,20,59,p1_issue_b1,1,116324,116405,81
8,1184,16,20,59,c2_wait_a,2,119542,119778,236
8,1184,16,20,59,c2_wait_b0,2,119303,119542,239
8,1184,16,20,59,c2_mma,2,119778,120692,914
8,1184,16,20,59,c2_commit,2,120692,120751,59
8,1184,16,20,59,c3_wait_a,3,118751,119291,540
8,1184,16,20,59,c3_wait_b1,3,118673,118751,78
8,1184,16,20,59,c3_mma,3,119291,120096,805
8,1184,16,20,59,c3_commit,3,120096,120173,77
8,1184,16,20,60,p0_wait_pipe0,0,117428,119455,2027
8,1184,16,20,60,p0_wait_pipe1,0,119455,119501,46
8,1184,16,20,60,p0_issue_a,0,119510,119754,244
8,1184,16,20,60,p0_issue_b0,0,119754,119836,82
8,1184,16,20,60,p1_wait_pipe1,1,116545,118922,2377
8,1184,16,20,60,p1_issue_b1,1,118922,119023,101
8,1184,16,20,60,c2_wait_a,2,121932,122163,231
8,1184,16,20,60,c2_wait_b0,2,120932,121932,1000
8,1184,16,20,60,c2_mma,2,122163,123032,869
8,1184,16,20,60,c2_commit,2,123032,123091,59
8,1184,16,20,60,c3_wait_a,3,120609,121632,1023
8,1184,16,20,60,c3_wait_b1,3,120356,120609,253
8,1184,16,20,60,c3_mma,3,121632,122437,805
8,1184,16,20,60,c3_commit,3,122437,122496,59
8,1184,16,20,61,p0_wait_pipe0,0,119923,121060,1137
8,1184,16,20,61,p0_wait_pipe1,0,121060,121106,46
8,1184,16,20,61,p0_issue_a,0,121115,121320,205
8,1184,16,20,61,p0_issue_b0,0,121320,121386,66
8,1184,16,20,61,p1_wait_pipe1,1,119049,120663,1614
8,1184,16,20,61,p1_issue_b1,1,120663,120749,86
8,1184,16,20,61,c2_wait_a,2,123675,123907,232
8,1184,16,20,61,c2_wait_b0,2,123276,123675,399
8,1184,16,20,61,c2_mma,2,123907,124744,837
8,1184,16,20,61,c2_commit,2,124744,124803,59
8,1184,16,20,61,c3_wait_a,3,122769,123344,575
8,1184,16,20,61,c3_wait_b1,3,122691,122769,78
8,1184,16,20,61,c3_mma,3,123344,124149,805
8,1184,16,20,61,c3_commit,3,124149,124208,59
8,1184,16,20,62,p0_wait_pipe0,0,121549,123440,1891
8,1184,16,20,62,p0_wait_pipe1,0,123440,123486,46
8,1184,16,20,62,p0_issue_a,0,123495,123739,244
8,1184,16,20,62,p0_issue_b0,0,123739,123821,82
8,1184,16,20,62,p1_wait_pipe1,1,120769,122941,2172
8,1184,16,20,62,p1_issue_b1,1,122941,123022,81
8,1184,16,20,62,c2_wait_a,2,126134,126369,235
8,1184,16,20,62,c2_wait_b0,2,124982,126134,1152
8,1184,16,20,62,c2_mma,2,126369,127174,805
8,1184,16,20,62,c2_commit,2,127174,127233,59
8,1184,16,20,62,c3_wait_a,3,124465,125478,1013
8,1184,16,20,62,c3_wait_b1,3,124387,124465,78
8,1184,16,20,62,c3_mma,3,125478,126283,805
8,1184,16,20,62,c3_commit,3,126283,126342,59
