pass	position	variant	csv
1	1	baseline	baseline_p1.csv
1	2	a_last	a_last_p1.csv
1	3	b_last	b_last_p1.csv
1	4	a_last_b_first	a_last_b_first_p1.csv
1	5	a_first_b_last	a_first_b_last_p1.csv
2	1	a_first_b_last	a_first_b_last_p2.csv
2	2	a_last_b_first	a_last_b_first_p2.csv
2	3	b_last	b_last_p2.csv
2	4	a_last	a_last_p2.csv
2	5	baseline	baseline_p2.csv
3	1	b_last	b_last_p3.csv
3	2	a_last_b_first	a_last_b_first_p3.csv
3	3	a_first_b_last	a_first_b_last_p3.csv
3	4	baseline	baseline_p3.csv
3	5	a_last	a_last_p3.csv
