input,variant,sample_1_tflops,sample_2_tflops,sample_3_tflops,sample_4_tflops,sample_5_tflops,sample_6_tflops,sample_7_tflops,sample_8_tflops,mean_tflops,sample_sd_tflops,mean_event_ms,vs_scalar_mean_paired_percent,vs_scalar_ci95_low_percent,vs_scalar_ci95_high_percent,vs_exact_mean_paired_percent,vs_exact_ci95_low_percent,vs_exact_ci95_high_percent
random,nsplit_exact,1760.706000,1758.723000,1758.019000,1756.736000,1758.460000,1757.650000,1759.671000,1759.160000,1758.640625,1.232417,5.001644750,-0.445256,-0.508791,-0.381722,0.000000,0.000000,0.000000
random,nsplit_transpose_nostore,1840.645000,1841.600000,1839.623000,1838.840000,1838.434000,1839.281000,1840.266000,1839.628000,1839.789625,1.020375,4.781033750,4.148511,4.079946,4.217076,4.614327,4.561959,4.666696
random,nsplit_transpose_scalar,1767.056000,1767.040000,1768.527000,1764.857000,1767.065000,1764.284000,1766.561000,1766.663000,1766.506625,1.345295,4.979374250,0.000000,0.000000,0.000000,0.447299,0.383159,0.511439
random,nsplit_transpose_vec2_x32,1765.401000,1764.665000,1763.720000,1761.351000,1764.012000,1763.243000,1763.406000,1764.723000,1763.815125,1.234964,4.986972125,-0.152339,-0.208696,-0.095982,0.294241,0.258488,0.329994
random,nsplit_transpose_vec2_cf1_x32,1762.045000,1763.602000,1762.038000,1763.245000,1763.390000,1765.254000,1761.202000,1763.225000,1763.000125,1.240734,4.989277500,-0.198419,-0.308993,-0.087845,0.247957,0.144519,0.351395
random,nsplit_transpose_vec2_cf_x32,1761.421000,1762.544000,1762.614000,1760.882000,1762.689000,1761.426000,1761.008000,1761.358000,1761.742750,0.749200,4.992836500,-0.269645,-0.318419,-0.220872,0.176438,0.106349,0.246526
random,nsplit_transpose_vec2_cf_x64,1765.571000,1766.259000,1765.732000,1764.791000,1766.281000,1763.222000,1764.964000,1765.106000,1765.240750,0.988630,4.982943250,-0.071639,-0.109664,-0.033614,0.375329,0.313133,0.437525
random,nsplit_transpose_vec4_cf_x64,1761.128000,1762.255000,1761.315000,1759.748000,1760.656000,1760.039000,1761.360000,1762.119000,1761.077500,0.897115,4.994723125,-0.307309,-0.354953,-0.259664,0.138591,0.090285,0.186896
random-signed8,nsplit_exact,1566.459000,1564.072000,1567.589000,1561.427000,1564.250000,1563.823000,1564.380000,1565.031000,1564.628875,1.839660,5.621846375,-0.594913,-0.858569,-0.331256,0.000000,0.000000,0.000000
random-signed8,nsplit_transpose_nostore,1630.396000,1630.000000,1635.938000,1634.452000,1629.371000,1631.600000,1628.846000,1630.587000,1631.398750,2.513304,5.391760125,3.647127,3.367922,3.926331,4.267566,4.107552,4.427580
random-signed8,nsplit_transpose_scalar,1576.182000,1569.457000,1571.144000,1577.740000,1581.470000,1571.153000,1573.770000,1571.112000,1574.003500,4.137701,5.588390375,0.000000,0.000000,0.000000,0.599361,0.332040,0.866681
random-signed8,nsplit_transpose_vec2_x32,1580.092000,1570.591000,1578.506000,1572.188000,1571.058000,1578.644000,1569.307000,1569.398000,1573.723000,4.553367,5.589393625,-0.017159,-0.357618,0.323301,0.581206,0.368437,0.793976
random-signed8,nsplit_transpose_vec2_cf1_x32,1567.229000,1573.208000,1564.607000,1570.578000,1577.975000,1569.683000,1571.579000,1570.415000,1570.659250,3.969130,5.600286500,-0.212146,-0.430573,0.006282,0.385681,0.107746,0.663617
random-signed8,nsplit_transpose_vec2_cf_x32,1566.686000,1576.708000,1570.248000,1579.152000,1577.959000,1569.882000,1567.864000,1570.211000,1572.338750,4.840441,5.594320125,-0.105441,-0.369567,0.158685,0.493090,0.161299,0.824881
random-signed8,nsplit_transpose_vec2_cf_x64,1572.973000,1574.144000,1574.632000,1571.731000,1572.625000,1572.686000,1573.470000,1579.420000,1573.960125,2.387020,5.588521625,-0.001974,-0.306251,0.302302,0.596453,0.466281,0.726625
random-signed8,nsplit_transpose_vec4_cf_x64,1568.641000,1565.687000,1566.674000,1575.183000,1566.347000,1567.253000,1566.281000,1569.398000,1568.183000,3.094846,5.609118500,-0.369333,-0.596526,-0.142140,0.227390,-0.007945,0.462724
