input	pass	order
random	1	nsplit_exact nsplit_transpose_nostore nsplit_transpose_vec4_cf_x64 nsplit_transpose_scalar nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_cf1_x32
random	2	nsplit_transpose_nostore nsplit_transpose_scalar nsplit_exact nsplit_transpose_vec2_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_cf_x32
random	3	nsplit_transpose_scalar nsplit_transpose_vec2_x32 nsplit_transpose_nostore nsplit_transpose_vec2_cf1_x32 nsplit_exact nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf_x64
random	4	nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf1_x32 nsplit_transpose_scalar nsplit_transpose_vec2_cf_x32 nsplit_transpose_nostore nsplit_transpose_vec2_cf_x64 nsplit_exact nsplit_transpose_vec4_cf_x64
random	5	nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf_x64 nsplit_transpose_scalar nsplit_transpose_vec4_cf_x64 nsplit_transpose_nostore nsplit_exact
random	6	nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_x32 nsplit_exact nsplit_transpose_scalar nsplit_transpose_nostore
random	7	nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf_x32 nsplit_exact nsplit_transpose_vec2_cf1_x32 nsplit_transpose_nostore nsplit_transpose_vec2_x32 nsplit_transpose_scalar
random	8	nsplit_transpose_vec4_cf_x64 nsplit_exact nsplit_transpose_vec2_cf_x64 nsplit_transpose_nostore nsplit_transpose_vec2_cf_x32 nsplit_transpose_scalar nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_x32
random-signed8	1	nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf_x64 nsplit_exact nsplit_transpose_vec2_cf_x32 nsplit_transpose_nostore nsplit_transpose_vec2_cf1_x32 nsplit_transpose_scalar nsplit_transpose_vec2_x32
random-signed8	2	nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf1_x32 nsplit_exact nsplit_transpose_vec2_x32 nsplit_transpose_nostore nsplit_transpose_scalar
random-signed8	3	nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_scalar nsplit_exact nsplit_transpose_nostore
random-signed8	4	nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf_x32 nsplit_transpose_scalar nsplit_transpose_vec2_cf_x64 nsplit_transpose_nostore nsplit_transpose_vec4_cf_x64 nsplit_exact
random-signed8	5	nsplit_transpose_vec2_x32 nsplit_transpose_scalar nsplit_transpose_vec2_cf1_x32 nsplit_transpose_nostore nsplit_transpose_vec2_cf_x32 nsplit_exact nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec4_cf_x64
random-signed8	6	nsplit_transpose_scalar nsplit_transpose_nostore nsplit_transpose_vec2_x32 nsplit_exact nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_cf_x64
random-signed8	7	nsplit_transpose_nostore nsplit_exact nsplit_transpose_scalar nsplit_transpose_vec4_cf_x64 nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf_x64 nsplit_transpose_vec2_cf1_x32 nsplit_transpose_vec2_cf_x32
random-signed8	8	nsplit_exact nsplit_transpose_vec4_cf_x64 nsplit_transpose_nostore nsplit_transpose_vec2_cf_x64 nsplit_transpose_scalar nsplit_transpose_vec2_cf_x32 nsplit_transpose_vec2_x32 nsplit_transpose_vec2_cf1_x32
