tile_iter,linear_tile,tile_m,tile_n,kt,event,warp,start_cycle,end_cycle,duration_cycle
8,1184,16,20,56,p0_wait_pipe0,0,56645,57198,553
8,1184,16,20,56,p0_wait_pipe1,0,57198,57429,231
8,1184,16,20,56,p0_issue_a,0,57438,57547,109
8,1184,16,20,56,p0_issue_b0,0,57547,57639,92
8,1184,16,20,56,p1_wait_pipe1,1,56641,57536,895
8,1184,16,20,56,p1_issue_b1,1,57536,57658,122
8,1184,16,20,56,c2_wait_a,2,58825,58929,104
8,1184,16,20,56,c2_wait_b0,2,58929,59005,76
8,1184,16,20,56,c2_mma,2,59005,59549,544
8,1184,16,20,56,c2_commit,2,59549,59676,127
8,1184,16,20,56,c3_wait_a,3,59268,59372,104
8,1184,16,20,56,c3_wait_b1,3,59372,59448,76
8,1184,16,20,56,c3_mma,3,59448,60062,614
8,1184,16,20,56,c3_commit,3,60062,60124,62
8,1184,16,20,57,p0_wait_pipe0,0,57706,58079,373
8,1184,16,20,57,p0_wait_pipe1,0,58079,58603,524
8,1184,16,20,57,p0_issue_a,0,58612,58687,75
8,1184,16,20,57,p0_issue_b0,0,58687,58751,64
8,1184,16,20,57,p1_wait_pipe1,1,57697,58561,864
8,1184,16,20,57,p1_issue_b1,1,58561,58654,93
8,1184,16,20,57,c2_wait_a,2,59855,60128,273
8,1184,16,20,57,c2_wait_b0,2,60128,60204,76
8,1184,16,20,57,c2_mma,2,60204,60727,523
8,1184,16,20,57,c2_commit,2,60727,60786,59
8,1184,16,20,57,c3_wait_a,3,60305,60412,107
8,1184,16,20,57,c3_wait_b1,3,60412,60488,76
8,1184,16,20,57,c3_mma,3,60488,61085,597
8,1184,16,20,57,c3_commit,3,61085,61148,63
8,1184,16,20,58,p0_wait_pipe0,0,58943,59197,254
8,1184,16,20,58,p0_wait_pipe1,0,59197,59570,373
8,1184,16,20,58,p0_issue_a,0,59579,59688,109
8,1184,16,20,58,p0_issue_b0,0,59688,59780,92
8,1184,16,20,58,p1_wait_pipe1,1,58689,59553,864
8,1184,16,20,58,p1_issue_b1,1,59553,59646,93
8,1184,16,20,58,c2_wait_a,2,60965,61234,269
8,1184,16,20,58,c2_wait_b0,2,61234,61310,76
8,1184,16,20,58,c2_mma,2,61310,61833,523
8,1184,16,20,58,c2_commit,2,61833,61931,98
8,1184,16,20,58,c3_wait_a,3,61327,61431,104
8,1184,16,20,58,c3_wait_b1,3,61431,61508,77
8,1184,16,20,58,c3_mma,3,61508,62189,681
8,1184,16,20,58,c3_commit,3,62189,62251,62
8,1184,16,20,59,p0_wait_pipe0,0,59848,60221,373
8,1184,16,20,59,p0_wait_pipe1,0,60221,60442,221
8,1184,16,20,59,p0_issue_a,0,60451,60526,75
8,1184,16,20,59,p0_issue_b0,0,60526,60590,64
8,1184,16,20,59,p1_wait_pipe1,1,59675,60523,848
8,1184,16,20,59,p1_issue_b1,1,60523,60616,93
8,1184,16,20,59,c2_wait_a,2,62116,62228,112
8,1184,16,20,59,c2_wait_b0,2,62228,62304,76
8,1184,16,20,59,c2_mma,2,62304,62827,523
8,1184,16,20,59,c2_commit,2,62827,62886,59
8,1184,16,20,59,c3_wait_a,3,62442,62550,108
8,1184,16,20,59,c3_wait_b1,3,62550,62631,81
8,1184,16,20,59,c3_mma,3,62631,63212,581
8,1184,16,20,59,c3_commit,3,63212,63275,63
8,1184,16,20,60,p0_wait_pipe0,0,60782,61181,399
8,1184,16,20,60,p0_wait_pipe1,0,61181,61557,376
