input,pass,baseline_TFLOPS,issue_b0_first_TFLOPS,early_b0_TFLOPS
random,1,1834.618,1820.680,1812.569
random,2,1830.394,1821.095,1813.511
random,3,1834.481,1818.351,1813.301
random,4,1831.892,1819.699,1815.975
random,5,1833.749,1818.257,1816.003
random,6,1833.573,1818.842,1813.882
random-signed8,1,1622.372,1614.608,1608.131
random-signed8,2,1620.121,1616.374,1606.701
random-signed8,3,1622.633,1612.649,1608.817
random-signed8,4,1617.505,1613.298,1609.746
random-signed8,5,1625.137,1616.767,1608.331
random-signed8,6,1619.980,1610.383,1605.303
