input,variant,sample1,sample2,sample3,sample4,mean,sample_sd,paired_delta_mean_pct,paired_delta_sd_pct
random,baseline,1843.000,1839.057,1840.983,1838.024,1840.266,2.197,+0.0000,0.0000
random,no_memset,1837.854,1840.628,1836.162,1837.586,1838.057,1.868,-0.1199,0.1797
random,sink_keep,1838.825,1833.678,1838.358,1841.003,1837.966,3.082,-0.1249,0.2009
random,sink_trim,1838.729,1839.743,1836.923,1839.943,1838.834,1.381,-0.0776,0.1737
random,fixed,1834.873,1833.554,1828.699,1832.363,1832.372,2.655,-0.4289,0.1716
random,suspend,1826.385,1822.953,1823.465,1822.534,1823.834,1.743,-0.8929,0.0459
random,fixed_sink,1832.422,1835.054,1831.291,1835.841,1833.652,2.148,-0.3592,0.2250
random,all,1825.788,1825.652,1820.588,1822.832,1823.715,2.490,-0.8993,0.1623
random-signed8,baseline,1630.446,1629.453,1625.829,1625.087,1627.704,2.642,+0.0000,0.0000
random-signed8,no_memset,1627.066,1628.887,1628.096,1628.096,1628.036,0.747,+0.0206,0.1791
random-signed8,sink_keep,1628.073,1627.388,1625.256,1629.617,1627.583,1.810,-0.0072,0.1966
random-signed8,sink_trim,1634.773,1628.669,1637.170,1626.127,1631.685,5.151,+0.2447,0.3286
random-signed8,fixed,1621.335,1622.941,1622.591,1629.824,1624.173,3.830,-0.2165,0.3693
random-signed8,suspend,1615.999,1618.345,1616.406,1626.529,1619.320,4.914,-0.5147,0.4220
random-signed8,fixed_sink,1624.359,1625.740,1619.501,1619.133,1622.183,3.361,-0.3392,0.0748
random-signed8,all,1621.737,1618.517,1626.033,1626.885,1623.293,3.900,-0.2705,0.3896
