position	pass	input	variant
1	1	random	baseline
2	1	random	no_memset
3	1	random	sink_keep
4	1	random	sink_trim
5	1	random	fixed
6	1	random	suspend
7	1	random	fixed_sink
8	1	random	all
1	1	random-signed8	baseline
2	1	random-signed8	no_memset
3	1	random-signed8	sink_keep
4	1	random-signed8	sink_trim
5	1	random-signed8	fixed
6	1	random-signed8	suspend
7	1	random-signed8	fixed_sink
8	1	random-signed8	all
1	2	random-signed8	all
2	2	random-signed8	fixed_sink
3	2	random-signed8	suspend
4	2	random-signed8	fixed
5	2	random-signed8	sink_trim
6	2	random-signed8	sink_keep
7	2	random-signed8	no_memset
8	2	random-signed8	baseline
1	2	random	all
2	2	random	fixed_sink
3	2	random	suspend
4	2	random	fixed
5	2	random	sink_trim
6	2	random	sink_keep
7	2	random	no_memset
8	2	random	baseline
1	3	random-signed8	fixed
2	3	random-signed8	suspend
3	3	random-signed8	fixed_sink
4	3	random-signed8	all
5	3	random-signed8	baseline
6	3	random-signed8	no_memset
7	3	random-signed8	sink_keep
8	3	random-signed8	sink_trim
1	3	random	fixed
2	3	random	suspend
3	3	random	fixed_sink
4	3	random	all
5	3	random	baseline
6	3	random	no_memset
7	3	random	sink_keep
8	3	random	sink_trim
1	4	random	sink_trim
2	4	random	sink_keep
3	4	random	no_memset
4	4	random	baseline
5	4	random	all
6	4	random	fixed_sink
7	4	random	suspend
8	4	random	fixed
1	4	random-signed8	sink_trim
2	4	random-signed8	sink_keep
3	4	random-signed8	no_memset
4	4	random-signed8	baseline
5	4	random-signed8	all
6	4	random-signed8	fixed_sink
7	4	random-signed8	suspend
8	4	random-signed8	fixed
