input,variant,sample_1,sample_2,sample_3,mean_tflops,sample_sd_tflops,ratio_of_means_delta_percent,mean_paired_delta_percent,matched_control,mean_paired_control_delta_percent
random,baseline,1805.502000,1805.153000,1810.957000,1807.204000,3.254874,0.000000,0.000000,baseline,0.000000
random,cta4,1806.670000,1806.090000,1804.414000,1805.724667,1.171531,-0.081858,-0.081568,baseline,-0.081568
random,cta8,1806.235000,1807.974000,1806.546000,1806.918333,0.927364,-0.015807,-0.015567,baseline,-0.015567
random,b1_gap0,1811.869000,1808.669000,1808.029000,1809.522333,2.057312,0.128283,0.128579,baseline,0.128579
random,b1_gap32,1810.799000,1811.401000,1789.351000,1803.850333,12.560398,-0.185572,-0.184523,b1_gap0,-0.313688
random,b1_gap64,1809.100000,1813.241000,1811.243000,1811.194667,2.070923,0.220820,0.221041,b1_gap0,0.092573
random,pipe1_gap0,1742.316000,1745.485000,1743.740000,1743.847000,1.587207,-3.505802,-3.505582,baseline,-3.505582
random,pipe1_gap32,1715.662000,1719.670000,1722.306000,1719.212667,3.345527,-4.868921,-4.868886,pipe1_gap0,-1.412653
random,pipe1_gap64,1673.314000,1670.978000,1671.500000,1671.930667,1.226103,-7.485228,-7.485007,pipe1_gap0,-4.123912
random-signed8,baseline,1600.864000,1615.118000,1606.992000,1607.658000,7.150300,0.000000,0.000000,baseline,0.000000
random-signed8,cta4,1601.935000,1602.566000,1612.091000,1605.530667,5.690169,-0.132325,-0.130985,baseline,-0.130985
random-signed8,cta8,1602.054000,1599.699000,1602.648000,1601.467000,1.559672,-0.385094,-0.383550,baseline,-0.383550
random-signed8,b1_gap0,1607.366000,1602.899000,1612.866000,1607.710333,4.992414,0.003255,0.005048,baseline,0.005048
random-signed8,b1_gap32,1598.627000,1599.156000,1606.293000,1601.358667,4.281436,-0.391833,-0.390507,b1_gap0,-0.394911
random-signed8,b1_gap64,1610.664000,1602.533000,1613.218000,1608.805000,5.579804,0.071346,0.073467,b1_gap0,0.068057
random-signed8,pipe1_gap0,1555.195000,1575.764000,1558.360000,1563.106333,11.075500,-2.771215,-2.771883,baseline,-2.771883
random-signed8,pipe1_gap32,1528.989000,1527.772000,1528.184000,1528.315000,0.618985,-4.935316,-4.933953,pipe1_gap0,-2.222363
random-signed8,pipe1_gap64,1443.586000,1452.585000,1458.910000,1451.693667,7.700786,-9.701338,-9.700884,pipe1_gap0,-7.125111
