input	pass	order
random	1	nsplit_exact nsplit_transpose_scalar_x64 nsplit_transpose_scalar_x32
random	2	nsplit_exact nsplit_transpose_scalar_x32 nsplit_transpose_scalar_x64
random	3	nsplit_transpose_scalar_x64 nsplit_exact nsplit_transpose_scalar_x32
random	4	nsplit_transpose_scalar_x64 nsplit_transpose_scalar_x32 nsplit_exact
random	5	nsplit_transpose_scalar_x32 nsplit_exact nsplit_transpose_scalar_x64
random	6	nsplit_transpose_scalar_x32 nsplit_transpose_scalar_x64 nsplit_exact
random-signed8	1	nsplit_transpose_scalar_x32 nsplit_transpose_scalar_x64 nsplit_exact
random-signed8	2	nsplit_transpose_scalar_x32 nsplit_exact nsplit_transpose_scalar_x64
random-signed8	3	nsplit_transpose_scalar_x64 nsplit_transpose_scalar_x32 nsplit_exact
random-signed8	4	nsplit_transpose_scalar_x64 nsplit_exact nsplit_transpose_scalar_x32
random-signed8	5	nsplit_exact nsplit_transpose_scalar_x32 nsplit_transpose_scalar_x64
random-signed8	6	nsplit_exact nsplit_transpose_scalar_x64 nsplit_transpose_scalar_x32
