size,scheduler,shape,sample1,sample2,sample3,mean,sample_sd,static_vs_dynamic_pct
8192,dynamic,4x16,1541.404,1538.312,1538.808,1539.508,1.661,+0.0000
8192,dynamic,8x16,1568.966,1567.635,1566.277,1567.626,1.345,+0.0000
8192,dynamic,4x32,1538.133,1539.636,1538.078,1538.616,0.884,+0.0000
8192,dynamic,8x18,1564.537,1565.820,1564.950,1565.102,0.655,+0.0000
8192,dynamic,12x12,1566.663,1567.463,1561.522,1565.216,3.224,+0.0000
8192,dynamic,16x16,1567.850,1565.949,1563.213,1565.671,2.331,+0.0000
8192,static,4x16,1571.435,1569.396,1569.439,1570.090,1.165,+1.9865
8192,static,8x16,1594.390,1592.114,1591.878,1592.794,1.387,+1.6055
8192,static,4x32,1572.211,1570.386,1570.214,1570.937,1.107,+2.1007
8192,static,8x18,1454.504,1457.144,1456.378,1456.009,1.358,-6.9704
8192,static,12x12,1453.999,1454.861,1454.528,1454.463,0.435,-7.0759
8192,static,16x16,1574.301,1575.846,1574.243,1574.797,0.909,+0.5829
16384,dynamic,4x16,1577.493,1573.936,1580.939,1577.456,3.502,+0.0000
16384,dynamic,8x16,1604.675,1615.035,1608.941,1609.550,5.207,+0.0000
16384,dynamic,4x32,1588.432,1579.197,1585.736,1584.455,4.749,+0.0000
16384,dynamic,8x18,1606.919,1611.832,1606.661,1608.471,2.914,+0.0000
16384,dynamic,12x12,1614.249,1615.615,1606.023,1611.962,5.189,+0.0000
16384,dynamic,16x16,1604.476,1599.210,1603.114,1602.267,2.733,+0.0000
16384,static,4x16,1600.318,1598.843,1600.141,1599.767,0.805,+1.4144
16384,static,8x16,1630.386,1624.148,1632.328,1628.954,4.274,+1.2055
16384,static,4x32,1603.647,1596.082,1600.258,1599.996,3.789,+0.9808
16384,static,8x18,1549.041,1548.798,1542.334,1546.724,3.804,-3.8388
16384,static,12x12,1557.244,1564.142,1560.172,1560.519,3.462,-3.1913
16384,static,16x16,1594.823,1594.451,1596.116,1595.130,0.874,-0.4454
32768,dynamic,4x16,1388.141,1395.934,1393.084,1392.386,3.943,+0.0000
32768,dynamic,8x16,1403.993,1393.396,1402.733,1400.041,5.789,+0.0000
32768,dynamic,4x32,1395.683,1399.019,1392.614,1395.772,3.203,+0.0000
32768,dynamic,8x18,1385.269,1404.349,1391.589,1393.736,9.719,+0.0000
32768,dynamic,12x12,1381.058,1365.353,1374.572,1373.661,7.892,+0.0000
32768,dynamic,16x16,1263.923,1325.096,1306.427,1298.482,31.351,+0.0000
32768,static,4x16,1394.003,1392.859,1400.874,1395.912,4.335,+0.2532
32768,static,8x16,1396.388,1391.352,1389.206,1392.315,3.687,-0.5518
32768,static,4x32,1394.946,1388.833,1392.707,1392.162,3.093,-0.2586
32768,static,8x18,1358.291,1396.001,1373.768,1376.020,18.956,-1.2711
32768,static,12x12,1313.170,1297.640,1312.927,1307.912,8.897,-4.7864
32768,static,16x16,1248.402,1271.730,1279.462,1266.531,16.169,-2.4606
