position	pass	size	variant
1	1	8192	dynamic_4x16
2	1	8192	dynamic_8x16
3	1	8192	dynamic_4x32
4	1	8192	dynamic_8x18
5	1	8192	dynamic_12x12
6	1	8192	dynamic_16x16
7	1	8192	static_4x16
8	1	8192	static_8x16
9	1	8192	static_4x32
10	1	8192	static_8x18
11	1	8192	static_12x12
12	1	8192	static_16x16
1	1	16384	dynamic_4x16
2	1	16384	dynamic_8x16
3	1	16384	dynamic_4x32
4	1	16384	dynamic_8x18
5	1	16384	dynamic_12x12
6	1	16384	dynamic_16x16
7	1	16384	static_4x16
8	1	16384	static_8x16
9	1	16384	static_4x32
10	1	16384	static_8x18
11	1	16384	static_12x12
12	1	16384	static_16x16
1	1	32768	dynamic_4x16
2	1	32768	dynamic_8x16
3	1	32768	dynamic_4x32
4	1	32768	dynamic_8x18
5	1	32768	dynamic_12x12
6	1	32768	dynamic_16x16
7	1	32768	static_4x16
8	1	32768	static_8x16
9	1	32768	static_4x32
10	1	32768	static_8x18
11	1	32768	static_12x12
12	1	32768	static_16x16
1	2	32768	static_16x16
2	2	32768	static_12x12
3	2	32768	static_8x18
4	2	32768	static_4x32
5	2	32768	static_8x16
6	2	32768	static_4x16
7	2	32768	dynamic_16x16
8	2	32768	dynamic_12x12
9	2	32768	dynamic_8x18
10	2	32768	dynamic_4x32
11	2	32768	dynamic_8x16
12	2	32768	dynamic_4x16
1	2	16384	static_16x16
2	2	16384	static_12x12
3	2	16384	static_8x18
4	2	16384	static_4x32
5	2	16384	static_8x16
6	2	16384	static_4x16
7	2	16384	dynamic_16x16
8	2	16384	dynamic_12x12
9	2	16384	dynamic_8x18
10	2	16384	dynamic_4x32
11	2	16384	dynamic_8x16
12	2	16384	dynamic_4x16
1	2	8192	static_16x16
2	2	8192	static_12x12
3	2	8192	static_8x18
4	2	8192	static_4x32
5	2	8192	static_8x16
6	2	8192	static_4x16
7	2	8192	dynamic_16x16
8	2	8192	dynamic_12x12
9	2	8192	dynamic_8x18
10	2	8192	dynamic_4x32
11	2	8192	dynamic_8x16
12	2	8192	dynamic_4x16
1	3	16384	dynamic_12x12
2	3	16384	dynamic_16x16
3	3	16384	static_4x16
4	3	16384	static_8x16
5	3	16384	static_4x32
6	3	16384	static_8x18
7	3	16384	static_12x12
8	3	16384	static_16x16
9	3	16384	dynamic_4x16
10	3	16384	dynamic_8x16
11	3	16384	dynamic_4x32
12	3	16384	dynamic_8x18
1	3	32768	dynamic_12x12
2	3	32768	dynamic_16x16
3	3	32768	static_4x16
4	3	32768	static_8x16
5	3	32768	static_4x32
6	3	32768	static_8x18
7	3	32768	static_12x12
8	3	32768	static_16x16
9	3	32768	dynamic_4x16
10	3	32768	dynamic_8x16
11	3	32768	dynamic_4x32
12	3	32768	dynamic_8x18
1	3	8192	dynamic_12x12
2	3	8192	dynamic_16x16
3	3	8192	static_4x16
4	3	8192	static_8x16
5	3	8192	static_4x32
6	3	8192	static_8x18
7	3	8192	static_12x12
8	3	8192	static_16x16
9	3	8192	dynamic_4x16
10	3	8192	dynamic_8x16
11	3	8192	dynamic_4x32
12	3	8192	dynamic_8x18
