size,method,sample1,sample2,sample3,mean,sample_sd
8192,ours_16x16,1568.136,1564.437,1566.920,1566.498,1.885
8192,ours_12x12,1568.766,1564.851,1563.953,1565.857,2.559
8192,ours_8x18,1569.626,1566.135,1568.580,1568.114,1.792
8192,cublas,1613.618,1608.150,1610.744,1610.837,2.735
8192,cutlass,1485.540,1486.350,1485.530,1485.807,0.471
16384,ours_16x16,1604.137,1600.409,1597.332,1600.626,3.408
16384,cublas,1684.064,1683.657,1681.550,1683.090,1.349
16384,cutlass,1319.660,1303.870,1305.620,1309.717,8.656
32768,ours_16x16,1272.277,1315.240,1306.579,1298.032,22.721
32768,ours_12x12,1372.186,1398.132,1389.116,1386.478,13.173
32768,ours_8x18,1410.680,1413.806,1396.046,1406.844,9.481
32768,cublas,1417.306,1424.558,1424.965,1422.276,4.309
32768,cutlass,1140.880,1134.640,1141.370,1138.963,3.752
