position	pass	size	method
1	1	8192	ours_16x16
2	1	8192	ours_12x12
3	1	8192	ours_8x18
4	1	8192	cublas
5	1	8192	cutlass
1	1	16384	ours_16x16
2	1	16384	cublas
3	1	16384	cutlass
1	1	32768	ours_16x16
2	1	32768	ours_12x12
3	1	32768	ours_8x18
4	1	32768	cublas
5	1	32768	cutlass
1	2	32768	cutlass
2	2	32768	cublas
3	2	32768	ours_8x18
4	2	32768	ours_12x12
5	2	32768	ours_16x16
1	2	16384	cutlass
2	2	16384	cublas
3	2	16384	ours_16x16
1	2	8192	cutlass
2	2	8192	cublas
3	2	8192	ours_8x18
4	2	8192	ours_12x12
5	2	8192	ours_16x16
1	3	16384	cublas
2	3	16384	ours_16x16
3	3	16384	cutlass
1	3	32768	ours_12x12
2	3	32768	cutlass
3	3	32768	ours_16x16
4	3	32768	cublas
5	3	32768	ours_8x18
1	3	8192	ours_12x12
2	3	8192	cutlass
3	3	8192	ours_16x16
4	3	8192	cublas
5	3	8192	ours_8x18
