position	pass	input	address_mode
1	1	random	dense
2	1	random	same_a
3	1	random	same_b
4	1	random	same
5	1	random-signed8	dense
6	1	random-signed8	same_a
7	1	random-signed8	same_b
8	1	random-signed8	same
1	2	random-signed8	same
2	2	random-signed8	same_b
3	2	random-signed8	same_a
4	2	random-signed8	dense
5	2	random	same
6	2	random	same_b
7	2	random	same_a
8	2	random	dense
1	3	random-signed8	same_a
2	3	random-signed8	dense
3	3	random-signed8	same
4	3	random-signed8	same_b
5	3	random	same_a
6	3	random	dense
7	3	random	same
8	3	random	same_b
1	4	random	same_b
2	4	random	same
3	4	random	dense
4	4	random	same_a
5	4	random-signed8	same_b
6	4	random-signed8	same
7	4	random-signed8	dense
8	4	random-signed8	same_a
