size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random-signed8,142,0,8,1220,20,12,0,scheduler_atomic,0,787097456361235,787097456361509,0,274,274
16384,random-signed8,142,0,8,1220,20,12,1,scheduler_barrier,0,787097456361529,787097456361599,294,364,70
16384,random-signed8,142,0,8,1220,20,12,2,scheduler_barrier,1,787097456361243,787097456361277,8,42,34
16384,random-signed8,142,0,8,1220,20,12,3,scheduler_barrier,2,787097456361245,787097456361279,10,44,34
16384,random-signed8,142,0,8,1220,20,12,4,scheduler_barrier,3,787097456361247,787097456361281,12,46,34
16384,random-signed8,142,0,8,1220,20,12,5,decode,0,787097456361618,787097456362015,383,780,397
16384,random-signed8,142,0,8,1220,20,12,6,producer_mainloop,0,787097456362060,787097456624807,825,263572,262747
16384,random-signed8,142,0,8,1220,20,12,7,producer_mainloop,1,787097456362097,787097456624794,862,263559,262697
16384,random-signed8,142,0,8,1220,20,12,8,consumer_mainloop_and_drain,2,787097456362176,787097456627497,941,266262,265321
16384,random-signed8,142,0,8,1220,20,12,9,consumer_mainloop_and_drain,3,787097456362178,787097456627668,943,266433,265490
16384,random-signed8,142,0,8,1220,20,12,10,mainloop_join_barrier,0,787097456624925,787097456624990,263690,263755,65
16384,random-signed8,142,0,8,1220,20,12,11,mainloop_join_barrier,1,787097456624871,787097456624936,263636,263701,65
16384,random-signed8,142,0,8,1220,20,12,12,mainloop_join_barrier,2,787097456627506,787097456627571,266271,266336,65
16384,random-signed8,142,0,8,1220,20,12,13,mainloop_join_barrier,3,787097456627677,787097456627742,266442,266507,65
16384,random-signed8,142,0,8,1220,20,12,14,epilogue_cstore_and_return_barrier,0,787097456627912,787097456637946,266677,276711,10034
16384,random-signed8,142,0,8,1220,20,12,15,epilogue_cstore_and_return_barrier,1,787097456627916,787097456637946,266681,276711,10030
16384,random-signed8,142,0,8,1220,20,12,16,epilogue_cstore_and_return_barrier,2,787097456627920,787097456637946,266685,276711,10026
16384,random-signed8,142,0,8,1220,20,12,17,epilogue_cstore_and_return_barrier,3,787097456627924,787097456637946,266689,276711,10022
16384,random-signed8,142,0,8,1220,20,12,18,final_tile_barrier,0,787097456638094,787097456638096,276859,276861,2
16384,random-signed8,142,0,8,1220,20,12,19,final_tile_barrier,1,787097456637995,787097456637997,276760,276762,2
16384,random-signed8,142,0,8,1220,20,12,20,final_tile_barrier,2,787097456637996,787097456637998,276761,276763,2
16384,random-signed8,142,0,8,1220,20,12,21,final_tile_barrier,3,787097456637997,787097456637999,276762,276764,2
16384,random-signed8,142,0,8,1220,20,12,22,clock_overhead,0,787097456638135,787097456638137,276900,276902,2
16384,random-signed8,142,0,8,1220,20,12,23,clock_overhead,1,787097456638132,787097456638134,276897,276899,2
16384,random-signed8,142,0,8,1220,20,12,24,clock_overhead,2,787097456638134,787097456638136,276899,276901,2
16384,random-signed8,142,0,8,1220,20,12,25,clock_overhead,3,787097456638133,787097456638135,276898,276900,2
