size,input,sm_id,block_idx,tile_iter,linear_tile,tile_m,tile_n,slot,event,warp,start_raw,end_raw,start_rel,end_rel,cycles
16384,random,142,0,8,1219,19,12,0,scheduler_atomic,0,787081109489144,787081109489443,0,299,299
16384,random,142,0,8,1219,19,12,1,scheduler_barrier,0,787081109489463,787081109489533,319,389,70
16384,random,142,0,8,1219,19,12,2,scheduler_barrier,1,787081109489152,787081109489186,8,42,34
16384,random,142,0,8,1219,19,12,3,scheduler_barrier,2,787081109489154,787081109489188,10,44,34
16384,random,142,0,8,1219,19,12,4,scheduler_barrier,3,787081109489156,787081109489190,12,46,34
16384,random,142,0,8,1219,19,12,5,decode,0,787081109489552,787081109489949,408,805,397
16384,random,142,0,8,1219,19,12,6,producer_mainloop,0,787081109489994,787081109755620,850,266476,265626
16384,random,142,0,8,1219,19,12,7,producer_mainloop,1,787081109490031,787081109755650,887,266506,265619
16384,random,142,0,8,1219,19,12,8,consumer_mainloop_and_drain,2,787081109490110,787081109758350,966,269206,268240
16384,random,142,0,8,1219,19,12,9,consumer_mainloop_and_drain,3,787081109490112,787081109758521,968,269377,268409
16384,random,142,0,8,1219,19,12,10,mainloop_join_barrier,0,787081109755738,787081109755803,266594,266659,65
16384,random,142,0,8,1219,19,12,11,mainloop_join_barrier,1,787081109755727,787081109755792,266583,266648,65
16384,random,142,0,8,1219,19,12,12,mainloop_join_barrier,2,787081109758359,787081109758424,269215,269280,65
16384,random,142,0,8,1219,19,12,13,mainloop_join_barrier,3,787081109758530,787081109758595,269386,269451,65
16384,random,142,0,8,1219,19,12,14,epilogue_cstore_and_return_barrier,0,787081109758765,787081109768800,269621,279656,10035
16384,random,142,0,8,1219,19,12,15,epilogue_cstore_and_return_barrier,1,787081109758769,787081109768800,269625,279656,10031
16384,random,142,0,8,1219,19,12,16,epilogue_cstore_and_return_barrier,2,787081109758773,787081109768800,269629,279656,10027
16384,random,142,0,8,1219,19,12,17,epilogue_cstore_and_return_barrier,3,787081109758777,787081109768800,269633,279656,10023
16384,random,142,0,8,1219,19,12,18,final_tile_barrier,0,787081109768948,787081109768950,279804,279806,2
16384,random,142,0,8,1219,19,12,19,final_tile_barrier,1,787081109768849,787081109768851,279705,279707,2
16384,random,142,0,8,1219,19,12,20,final_tile_barrier,2,787081109768850,787081109768852,279706,279708,2
16384,random,142,0,8,1219,19,12,21,final_tile_barrier,3,787081109768851,787081109768853,279707,279709,2
16384,random,142,0,8,1219,19,12,22,clock_overhead,0,787081109768989,787081109768991,279845,279847,2
16384,random,142,0,8,1219,19,12,23,clock_overhead,1,787081109768986,787081109768988,279842,279844,2
16384,random,142,0,8,1219,19,12,24,clock_overhead,2,787081109768987,787081109768989,279843,279845,2
16384,random,142,0,8,1219,19,12,25,clock_overhead,3,787081109768988,787081109768990,279844,279846,2
