size,input,method,sample1,sample2,sample3,mean,sample_sd,relative_to_cublas_pct
8192,unit,ours,1775.110,1772.582,1768.513,1772.068,3.328,98.060
8192,unit,cublas,1806.981,1808.084,1806.297,1807.121,0.902,100.000
8192,unit,cutlass,1669.890,1665.750,1667.820,1667.820,2.070,92.292
8192,signed8,ours,1595.589,1593.414,1593.488,1594.164,1.235,98.801
8192,signed8,cublas,1613.224,1612.588,1614.740,1613.517,1.106,100.000
8192,signed8,cutlass,1440.910,1485.530,1488.830,1471.757,26.765,91.214
16384,unit,ours,1834.327,1836.133,1835.802,1835.421,0.961,96.483
16384,unit,cublas,1902.014,1901.485,1903.460,1902.320,1.022,100.000
16384,unit,cutlass,1444.800,1443.530,1443.250,1443.860,0.826,75.900
16384,signed8,ours,1628.607,1621.197,1623.106,1624.303,3.847,96.374
16384,signed8,cublas,1684.840,1684.734,1686.668,1685.414,1.087,100.000
16384,signed8,cutlass,1311.350,1319.820,1304.420,1311.863,7.713,77.836
32768,unit,ours,1577.868,1618.160,1610.812,1602.280,21.458,99.076
32768,unit,cublas,1599.985,1637.070,1614.634,1617.230,18.678,100.000
32768,unit,cutlass,1280.690,1284.990,1281.910,1282.530,2.216,79.304
32768,signed8,ours,1385.756,1401.922,1386.158,1391.279,9.220,97.932
32768,signed8,cublas,1414.651,1425.754,1421.573,1420.659,5.608,100.000
32768,signed8,cutlass,1139.850,1134.110,1134.080,1136.013,3.323,79.964
