position	pass	size	input	method
1	1	8192	unit	ours
2	1	8192	unit	cublas
3	1	8192	unit	cutlass
4	1	8192	signed8	ours
5	1	8192	signed8	cublas
6	1	8192	signed8	cutlass
7	1	16384	unit	ours
8	1	16384	unit	cublas
9	1	16384	unit	cutlass
10	1	16384	signed8	ours
11	1	16384	signed8	cublas
12	1	16384	signed8	cutlass
13	1	32768	unit	ours
14	1	32768	unit	cublas
15	1	32768	unit	cutlass
16	1	32768	signed8	ours
17	1	32768	signed8	cublas
18	1	32768	signed8	cutlass
1	2	32768	signed8	cublas
2	2	32768	signed8	cutlass
3	2	32768	signed8	ours
4	2	32768	unit	cublas
5	2	32768	unit	cutlass
6	2	32768	unit	ours
7	2	16384	signed8	cublas
8	2	16384	signed8	cutlass
9	2	16384	signed8	ours
10	2	16384	unit	cublas
11	2	16384	unit	cutlass
12	2	16384	unit	ours
13	2	8192	signed8	cublas
14	2	8192	signed8	cutlass
15	2	8192	signed8	ours
16	2	8192	unit	cublas
17	2	8192	unit	cutlass
18	2	8192	unit	ours
1	3	16384	unit	cutlass
2	3	16384	unit	ours
3	3	16384	unit	cublas
4	3	16384	signed8	cutlass
5	3	16384	signed8	ours
6	3	16384	signed8	cublas
7	3	8192	unit	cutlass
8	3	8192	unit	ours
9	3	8192	unit	cublas
10	3	8192	signed8	cutlass
11	3	8192	signed8	ours
12	3	8192	signed8	cublas
13	3	32768	unit	cutlass
14	3	32768	unit	ours
15	3	32768	unit	cublas
16	3	32768	signed8	cutlass
17	3	32768	signed8	ours
18	3	32768	signed8	cublas
